Code	D_code	ast	usedate	Valid	WHO	Code_w	d_code_w	Prim	Headline	Text	Tehty	ic9_cm	icd9_cm2	Text_2	SSKParentDgKods	SSKGrupa	Vai ieklaut	Teh pievienosana	Upper level idx	Laiks
A03.8										Citas sigelozes					A03	Zarnu infekcijas slimibas	x	X	x	
A03.9										Neprecizeta sigeloze					A03	Zarnu infekcijas slimibas	x	X	x	
A04										Citas bakterialas zarnu infekcijas					NULL	Zarnu infekcijas slimibas	x	X		
A04.0										Enteropatogenu Escherichia coli infekcija					A04	Zarnu infekcijas slimibas	x	X	x	
A04.1										Enterotoksigenu Escherichia coli infekcija					A04	Zarnu infekcijas slimibas	x	X	x	
A04.2										Enteroinvazivu Escherichia coli infekcija					A04	Zarnu infekcijas slimibas	x	X	x	
A04.3										Enterohemoragisku Escherichia coli infekcija					A04	Zarnu infekcijas slimibas	x	X	x	
A04.4										Citas Escherichia coli ierosinatas zarnu infekcijas					A04	Zarnu infekcijas slimibas	x	X	x	
A04.5										Campylobacter ierosinats enterits					A04	Zarnu infekcijas slimibas	x	X	x	
A04.6										Yersinia enterocolitica ierosinats enterits					A04	Zarnu infekcijas slimibas	x	X	x	
A04.7										Clostridium difficile ierosinats enterokolits					A04	Zarnu infekcijas slimibas	x	X	x	
A04.8										Citas precizetas bakterialas zarnu infekcijas					A04	Zarnu infekcijas slimibas	x	X	x	
A04.9										Neprecizeta bakteriala zarnu infekcija					A04	Zarnu infekcijas slimibas	x	X	x	
A05										Citas bakterialas uztura toksikoinfekcijas					NULL	Zarnu infekcijas slimibas	x	X		
A05.0										Stafilokoku ierosinata uztura toksikoinfekcija					A05	Zarnu infekcijas slimibas	x	X	x	
A05.1										Botulisms					A05	Zarnu infekcijas slimibas	x	X	x	
A05.2										Clostridium perfringens ierosinata uztura toksikoinfekcija					A05	Zarnu infekcijas slimibas	x	X	x	
A05.3										Vibrio parahaemolyticus ierosinata uztura toksikoinfekcija					A05	Zarnu infekcijas slimibas	x	X	x	
A05.4										Bacillus cereus ierosinata uztura toksikoinfekcija					A05	Zarnu infekcijas slimibas	x	X	x	
A05.8										Citas precizetas bakterialas uztura toksikoinfekcijas					A05	Zarnu infekcijas slimibas	x	X	x	
A05.9										Neprecizeta bakteriala uztura toksikoinfekcija					A05	Zarnu infekcijas slimibas	x	X	x	
A06										Amebiaze					NULL	Zarnu infekcijas slimibas	x	X		
A06.0										Akuta amebu dizenterija					A06	Zarnu infekcijas slimibas	x	X	x	
A06.1										Hroniska zarnu amebiaze					A06	Zarnu infekcijas slimibas	x	X	x	
A06.2										Nedizenterisks amebu kolits					A06	Zarnu infekcijas slimibas	x	X	x	
A06.3										Zarnu ameboma					A06	Zarnu infekcijas slimibas	x	X	x	
A06.4										Amebisks aknu abscess					A06	Zarnu infekcijas slimibas	x	X	x	
A06.5										Amebisks plausu abscess (J99.8*)					A06	Zarnu infekcijas slimibas	x	X	x	
A06.6										Amebisks  smadzenu abscess (G07*)					A06	Zarnu infekcijas slimibas	x	X	x	
A06.7										Adas amebiaze					A06	Zarnu infekcijas slimibas	x	X	x	
A06.8										Citas amebu ierosinatas infekcijas					A06	Zarnu infekcijas slimibas	x	X	x	
A06.9										Neprecizeta amebiaze					A06	Zarnu infekcijas slimibas	x	X	x	
A07										Citas viensunu ierosinatas zarnu slimibas					NULL	Zarnu infekcijas slimibas				
A07.0										Balantidiaze					A07	Zarnu infekcijas slimibas				
A07.1										Ziardiaze (lamblioze)					A07	Zarnu infekcijas slimibas				
A07.2										Kriptosporidioze					A07	Zarnu infekcijas slimibas				
A07.3										Izosporoze					A07	Zarnu infekcijas slimibas				
A07.8										Citas precizetas viensunu ierosinatas zarnu slimibas					A07	Zarnu infekcijas slimibas				
A07.9										Neprecizetas viensunu ierosinatas zarnu slimibas					A07	Zarnu infekcijas slimibas				
A08										Virusu un citas precizetas zarnu infekcijas					NULL	Zarnu infekcijas slimibas	x	X		
A08.0										Rotavirusu enterits					A08	Zarnu infekcijas slimibas	x	X	x	
A08.1										Akuta gastroenteropatija,ko ierosina Norvalkas viruss					A08	Zarnu infekcijas slimibas	x	X	x	
A08.2										Adenovirusu enterits					A08	Zarnu infekcijas slimibas	x	X	x	
A08.3										Cits virusu enterits					A08	Zarnu infekcijas slimibas	x	X	x	
A08.4										Neprecizeta virusu ierosinata zarnu infekcija					A08	Zarnu infekcijas slimibas	x	X	x	
A08.5										Citas precizetas zarnu infekcijas					A08	Zarnu infekcijas slimibas	x	X	x	
A09										Caureja un gastroenterits					NULL	Zarnu infekcijas slimibas	x	X		
A15										Elposanas organu tuberkuloze,kas pieradita bakteriologiski un histologiski					NULL	Tuberkuloze	X	X		
A15.0										Plausu tuberkuloze,kas pieradita ar krepu mikroskopiju ar vai bez uzsejuma					A15	Tuberkuloze	x	X	X	
A15.1										Plausu tuberkuloze, kas pieradita vienigi ar uzsejumu					A15	Tuberkuloze	x	X	X	
A15.2										Plausu tuberkuloze, kas pieradita histologiski					A15	Tuberkuloze	x	X	X	
A15.3										Plausu tuberkuloze, kas pieradita neprecizeta veida					A15	Tuberkuloze	x	X	X	
A15.4										Intratorakalo limfmezglu tuberkuloze, kas pieradita bakteriologiski un histologiski					A15	Tuberkuloze	x	X	X	
A15.5										Balsenes, trahejas un bronhu tuberkuloze, kas pieradita bakteriologiski un histologiski					A15	Tuberkuloze	x	X	X	
A15.6										Tuberkulozs pleirits, kas pieradits bakteriologiski un histologiski					A15	Tuberkuloze	x	X	X	
A15.7										Primara elposanas organu tuberkuloze, kas pieradita bakteriologiski un histologiski					A15	Tuberkuloze	x	X	X	
A15.8										Cita veida elposanas organu tuberkuloze, kas pieradita bakteriologiski un histologiski					A15	Tuberkuloze	x	X	X	
A15.9										Neprecizeta elposanas organu tuberkuloze, kas pieradita bakteriologiski vai histologiski					A15	Tuberkuloze	x	X	X	
A16										Elposanas organu tuberkuloze, kas nav pieradita bakteriologiski vai histologiski					NULL	Tuberkuloze	X	X		
A16.0										Plausu tuberkuloze, kas ir bakteriologiski un histologiski negativa					A16	Tuberkuloze	x	X	X	
A16.1										Plausu tuberkuloze bez bakteriologiskas un histologiskas izmeklesanas					A16	Tuberkuloze	x	X	X	
A16.2										Plausu tuberkuloze bez norades par bakteriologisku vai histologisku apstiprinajumu					A16	Tuberkuloze	x	X	X	
A16.3										Intratorakalo limfmezglu tuberkuloze bez norades par bakteriogisku vai histologisku apstiprinajumu					A16	Tuberkuloze	x	X	X	
A16.4										Balsenes, trahejas un bronhu tuberkuloze bez norades par bakteriologisku vai histologisku apstiprinajumu					A16	Tuberkuloze	x	X	X	
A16.5										Tuberkulozs pleirits bez norades par bakteriologisku vai histologisku apstiprinajumu					A16	Tuberkuloze	x	X	X	
A16.7										Primara elposanas organu tuberkuloze bez norades par bakteriologisku vai histologisku apstiprinajumu					A16	Tuberkuloze	x	X	X	
A16.8										Cita veida elposanas organu tuberkuloze bez norades par bakteriologisku vai histologsku apstiprinajumu)					A16	Tuberkuloze	x	X	X	
A16.9										Neprecizeta elposanas organu tuberkuloze bez norades par bakteriologisku vai histologisku apstiprinajumu					A16	Tuberkuloze	x	X	X	
A17										Nervu sistemas tuberkuloze					NULL	Tuberkuloze	X	X		
A17.0										Tuberkulozs meningits (G01*)					A17	Tuberkuloze	x	X	X	
A17.1										Meningeala tuberkuloma (G07*)					A17	Tuberkuloze	x	X	X	
A17.8										Cita veida nervu sistemas tuberkuloze					A17	Tuberkuloze	x	X	X	
A17.9										Neprecizeta nervu sistemas tuberkuloze (G99.8*)					A17	Tuberkuloze	x	X	X	
A18										Citu organu tuberkuloze					NULL	Tuberkuloze	X	X		
A18.0										Kaulu un locitavu tuberkuloze					A18	Tuberkuloze	x	X	X	
A18.1										Urogenitalas sistemas tuberkuloze					A18	Tuberkuloze	x	X	X	
A18.2										Tuberkuloza periferiska limfadenopatija					A18	Tuberkuloze	x	X	X	
A18.3										Zarnu, vederpleves un apzarna limfmezglu tuberkuloze					A18	Tuberkuloze	x	X	X	
A18.4										Adas un zemadas audu tuberkuloze					A18	Tuberkuloze	x	X	X	
A18.5										Acu tuberkuloze					A18	Tuberkuloze	x	X	X	
A18.6										Ausu tuberkuloze					A18	Tuberkuloze	x	X	X	
A18.7										Virsnieru tuberkuloze (E35.1*)					A18	Tuberkuloze	x	X	X	
A18.8										Citu precizetu organu tuberkuloze					A18	Tuberkuloze	x	X	X	
A19										Miliara tuberkuloze					NULL	Tuberkuloze	X	X		
A19.0										Akuta miliara tuberkuloze viena precizeta lokalizacija					A19	Tuberkuloze	x	X	X	
A19.1										Akuta miliara daudzu organu tuberkuloze					A19	Tuberkuloze	x	X	X	
A19.2										Akuta neprecizeta miliara tuberkuloze					A19	Tuberkuloze	x	X	X	
A19.8										Cita veida miliara tuberkuloze					A19	Tuberkuloze	x	X	X	
A19.9										Neprecizeta miliara tuberkuloze					A19	Tuberkuloze	x	X	X	
A20										Meris					NULL	Konkretas bakterialas zoonozes 				
A20.0										Bubonu meris					A20	Konkretas bakterialas zoonozes 				
A20.1										Adas meris					A20	Konkretas bakterialas zoonozes 				
A20.2										Plausu meris					A20	Konkretas bakterialas zoonozes 				
A20.3										Mera meningits					A20	Konkretas bakterialas zoonozes 				
A20.7										Mera septicemija					A20	Konkretas bakterialas zoonozes 				
A20.8										Citas mera formas					A20	Konkretas bakterialas zoonozes 				
A20.9										Neprecizets meris					A20	Konkretas bakterialas zoonozes 				
A21										Tularemija					NULL	Konkretas bakterialas zoonozes 				
A21.0										Ulceroglandulara tularemija					A21	Konkretas bakterialas zoonozes 				
A21.1										Okuloglandulara tularemija					A21	Konkretas bakterialas zoonozes 				
A21.2										Plausu tularemija					A21	Konkretas bakterialas zoonozes 				
A21.3										Gastrointestinala tularemija					A21	Konkretas bakterialas zoonozes 				
A21.7										Generalizeta tularemija					A21	Konkretas bakterialas zoonozes 				
A21.8										Citi tularemijas veidi					A21	Konkretas bakterialas zoonozes 				
A21.9										Neprecizeta tularemija					A21	Konkretas bakterialas zoonozes 				
A22										Liesasserga (Sibirijas lopu meris)					NULL	Konkretas bakterialas zoonozes 				
A22.0										Liesassergas adas forma					A22	Konkretas bakterialas zoonozes 				
A22.1										Liesassergas plausu forma					A22	Konkretas bakterialas zoonozes 				
A22.2										Gastrointestinala liesasserga					A22	Konkretas bakterialas zoonozes 				
A22.7										Liesassergas septicemija					A22	Konkretas bakterialas zoonozes 				
A22.8										Citas liesassergas formas					A22	Konkretas bakterialas zoonozes 				
A22.9										Neprecizeta liesasserga					A22	Konkretas bakterialas zoonozes 				
A23										Bruceloze					NULL	Konkretas bakterialas zoonozes 				
A23.0										Brucella melitensis ierosinata bruceloze					A23	Konkretas bakterialas zoonozes 				
A23.1										Brucella abortus ierosinata bruceloze					A23	Konkretas bakterialas zoonozes 				
A23.2										Brucella suis ierosinata bruceloze					A23	Konkretas bakterialas zoonozes 				
A23.3										Brucella canis ierosinata bruceloze					A23	Konkretas bakterialas zoonozes 				
A23.8										Cita veida bruceloze					A23	Konkretas bakterialas zoonozes 				
A23.9										Neprecizeta bruceloze					A23	Konkretas bakterialas zoonozes 				
A24										Launie ienasi un melioidoze					NULL	Konkretas bakterialas zoonozes 				
A24.0										Launie ienasi					A24	Konkretas bakterialas zoonozes 				
A24.1										Akuta un zibensveida melioidoze					A24	Konkretas bakterialas zoonozes 				
A24.2										Subakuta un hroniska melioidoze					A24	Konkretas bakterialas zoonozes 				
A24.3										Cita veida melioidoze					A24	Konkretas bakterialas zoonozes 				
A24.4										Neprecizeta melioidoze					A24	Konkretas bakterialas zoonozes 				
A25										Zurku kodiena drudzi					NULL	Konkretas bakterialas zoonozes 				
A25.0										Spiriloze					A25	Konkretas bakterialas zoonozes 				
A25.1										Streptobaciloze					A25	Konkretas bakterialas zoonozes 				
A25.9										Neprecizets zurku kodiena drudzis					A25	Konkretas bakterialas zoonozes 				
A26										Erysipeloides (cuku roze, cuku sarkangula)					NULL	Konkretas bakterialas zoonozes 				
A26.0										Adas erisipeloids					A26	Konkretas bakterialas zoonozes 				
A26.7										Erisypelothrix septicemija					A26	Konkretas bakterialas zoonozes 				
A26.8										Citi erisipeloida veidi					A26	Konkretas bakterialas zoonozes 				
A26.9										Neprecizets erisipeloids					A26	Konkretas bakterialas zoonozes 				
A27										Leptospiroze					NULL	Konkretas bakterialas zoonozes 	x	X		
A27.0										Leptospirosis icterohaemorrhagica					A27	Konkretas bakterialas zoonozes 	x	X	x	
A27.8										Citi leptospirozes veidi					A27	Konkretas bakterialas zoonozes 	x	X	x	
A27.9										Neprecizeta leptospiroze					A27	Konkretas bakterialas zoonozes 	x	X	x	
A28										Citas citur neklasificetas bakterialas zoonozes					NULL	Konkretas bakterialas zoonozes 				
A28.0										Pastereloze					A28	Konkretas bakterialas zoonozes 				
A28.1										Kaka skrapejuma slimiba					A28	Konkretas bakterialas zoonozes 	x	X		
A28.2										Ekstraintestinala jersinioze					A28	Konkretas bakterialas zoonozes 	x	X		
A28.8										Citas precizetas citur neklasificetas bakterialas zoonozes					A28	Konkretas bakterialas zoonozes 				
A28.9										Neprecizeta bakteriala zoonoze					A28	Konkretas bakterialas zoonozes 				
A30										Lepra [Hansena (Hansen) slimiba]					NULL	Citas bakterialas slimibas				
A30.0										Nedetermineta lepra					A30	Citas bakterialas slimibas				
A30.1										Tuberkuloida lepra					A30	Citas bakterialas slimibas				
A30.2										Tuberkuloida robezlepra					A30	Citas bakterialas slimibas				
A30.3										Robezlepra					A30	Citas bakterialas slimibas				
A30.4										Lepromatoza robezlepra					A30	Citas bakterialas slimibas				
A30.5										Lepromatoza lepra					A30	Citas bakterialas slimibas				
A30.8										Citas lepras formas					A30	Citas bakterialas slimibas				
A30.9										Neprecizeta lepra					A30	Citas bakterialas slimibas				
A31										Citu mikobakteriju ierosinatas infekcijas					NULL	Citas bakterialas slimibas				
A31.0										Mikobakteriju ierosinatas plausu slimibas					A31	Citas bakterialas slimibas				
A31.1										Mikobakteriju ierosinatas adas infekcijas					A31	Citas bakterialas slimibas				
A31.8										Citas mikobakteriju infekcijas					A31	Citas bakterialas slimibas				
A31.9										Neprecizetas mikobakteriju infekcijas					A31	Citas bakterialas slimibas				
A32										Listerioze					NULL	Citas bakterialas slimibas	x	X		
A32.0										Adas listerioze					A32	Citas bakterialas slimibas	x	X	x	
A32.1										Listeriozs meningits un meningoencefalits					A32	Citas bakterialas slimibas	x	X	x	
A32.7										Listeriju septicemija					A32	Citas bakterialas slimibas	x	X	x	
A32.8										Citas listeriozes formas					A32	Citas bakterialas slimibas	x	X	x	
A32.9										Neprecizeta listerioze					A32	Citas bakterialas slimibas	x	X	x	
A33										Jaundzimuso tetans					NULL	Citas bakterialas slimibas				
A34										Nedelniecu tetans					NULL	Citas bakterialas slimibas				
A35										Citi tetana veidi					NULL	Citas bakterialas slimibas				
A36										Difterija					NULL	Citas bakterialas slimibas	X	X		
A36.0										Zavas difterija					A36	Citas bakterialas slimibas	x	X	X	
A36.1										Nazofaringeala difterija					A36	Citas bakterialas slimibas	x	X	X	
A36.2										Balsenes difterija					A36	Citas bakterialas slimibas	x	X	X	
A36.3										Adas difterija					A36	Citas bakterialas slimibas	x	X	X	
A36.8										Cita difterija					A36	Citas bakterialas slimibas	x	X	X	
A36.9										Neprecizeta difterija					A36	Citas bakterialas slimibas	x	X	X	
A37										Garais klepus					NULL	Citas bakterialas slimibas	x	X		
A37.0										Bordetella pertussis ierosinats garais klepus					A37	Citas bakterialas slimibas	x	X	x	
A37.1										Bordetella parapertussis ierosinats garais klepus					A37	Citas bakterialas slimibas	x	X	x	
A37.8										Citu konkretu Bordetella sugu ierosinats garais klepus					A37	Citas bakterialas slimibas	x	X	x	
A37.9										Neprecizets garais klepus					A37	Citas bakterialas slimibas	x	X	x	
A38										Skarlatina					NULL	Citas bakterialas slimibas	x	X		
A39										Meningokoku infekcija					NULL	Citas bakterialas slimibas	x	X		
A39.0										Meningokoku meningits (G01*)					A39	Citas bakterialas slimibas	x	X	x	
A39.1										Voterhausa-Friderihsena sindroms (E35.1*)					A39	Citas bakterialas slimibas	x	X	x	
A39.2										Akuta meningokokcemija					A39	Citas bakterialas slimibas	x	X	x	
A39.3										Hroniska meningokokcemija					A39	Citas bakterialas slimibas	x	X	x	
A39.4										Neprecizeta meningokokcemija					A39	Citas bakterialas slimibas	x	X	x	
A39.5										Meningokoku ierosinata sirds slimiba					A39	Citas bakterialas slimibas	x	X	x	
A39.8										Citas meningokoku infekcijas					A39	Citas bakterialas slimibas	x	X	x	
A39.9										Neprecizeta meningokoku infekcija					A39	Citas bakterialas slimibas	x	X	x	
A39										Meningokoku infekcija					A39		x			
A39										Meningokokku infekcija					A39		x			
A40										Streptokoku septicemija					NULL	Citas bakterialas slimibas	x	X		
A40.0										A grupas streptokoku septicemija					A40	Citas bakterialas slimibas	x	X	x	
A40.1										B grupas streptokoku septicemija					A40	Citas bakterialas slimibas	x	X	x	
A40.2										D grupas streptokoku septicemija					A40	Citas bakterialas slimibas	x	X	x	
A40.3										Pneimokoku septicemija					A40	Citas bakterialas slimibas	x	X	x	
A40.8										Cita streptokoku septicemija					A40	Citas bakterialas slimibas	x	X	x	
A40.9										Neprecizeta streptokoku septicemija					A40	Citas bakterialas slimibas	x	X	x	
A41										Cita veida septicemija					NULL	Citas bakterialas slimibas	x	X		
A41.0										Staphylococcus aureus septicemija					A41	Citas bakterialas slimibas	x	X	x	
A41.1										Citu precizetu stafilokoku septicemija					A41	Citas bakterialas slimibas	x	X	x	
A41.2										Neprecizetu stafilokoku septicemija					A41	Citas bakterialas slimibas	x	X	x	
A41.3										Haemophilus influenzae septicemija					A41	Citas bakterialas slimibas	x	X	x	
A41.4										Anaerobo bakteriju septicemija					A41	Citas bakterialas slimibas	x	X	x	
A41.5										Citu gramnegativu mikroorganismu septicemija					A41	Citas bakterialas slimibas	x	X	x	
A41.8										Cita precizeta septicemija					A41	Citas bakterialas slimibas	x	X	x	
A41.9										Neprecizeta septicemija					A41	Citas bakterialas slimibas	x	X	x	
A42										Aktinomikoze					NULL	Citas bakterialas slimibas				
A42.0										Plausu aktinomikoze					A42	Citas bakterialas slimibas				
A42.1										Abdominala aktinomikoze					A42	Citas bakterialas slimibas				
A42.2										Sejas un kakla aktinomikoze					A42	Citas bakterialas slimibas				
A42.7										Aktinomicetu septicemija					A42	Citas bakterialas slimibas				
A42.8										Citi aktinomikozes veidi					A42	Citas bakterialas slimibas				
A42.9										Neprecizeta aktinomikoze					A42	Citas bakterialas slimibas				
A43										Nokardioze					NULL	Citas bakterialas slimibas				
A43.0										Plausu nokardioze					A43	Citas bakterialas slimibas				
A43.1										Adas nokardioze					A43	Citas bakterialas slimibas				
A43.8										Citi nokardiozes veidi					A43	Citas bakterialas slimibas				
A43.9										Neprecizeta nokardioze					A43	Citas bakterialas slimibas				
A44										Bartoneloze					NULL	Citas bakterialas slimibas				
A44.0										Sistemiska bartoneloze					A44	Citas bakterialas slimibas				
A44.1										Adas un glotadu bartoneloze					A44	Citas bakterialas slimibas				
A44.8										Citi bartonelozes veidi                                                                                                                                                                              					A44	Citas bakterialas slimibas				
A44.9										Neprecizeta bartoneloze					A44	Citas bakterialas slimibas				
A46										Erysipelas (roze)					NULL	Citas bakterialas slimibas	x	X		
A48										Citas citur neklasificetas bakterialas slimibas					NULL	Citas bakterialas slimibas				
A48.0										Gazes gangrena					A48	Citas bakterialas slimibas				
A48.1										Legionaru slimiba					A48	Citas bakterialas slimibas				
A48.2										Nepneimoniska legionaru slimiba [Pontiakas drudzis]					A48	Citas bakterialas slimibas				
A48.3										Toksiska soka sindroms					A48	Citas bakterialas slimibas				
A48.4										Brazilijas hemoragiskais drudzis					A48	Citas bakterialas slimibas				
A48.8										Citas precizetas bakterialas slimibas					A48	Citas bakterialas slimibas				
A49										Bakteriala infekcija ar neprecizetu lokalizaciju					NULL	Citas bakterialas slimibas				
A49.0										Neprecizeta stafilokoku infekcija					A49	Citas bakterialas slimibas				
A49.1										Neprecizeta streptokoku infekcija					A49	Citas bakterialas slimibas				
A49.2										Neprecizeta Haemophilus influenzae infekcija					A49	Citas bakterialas slimibas				
A49.3										Neprecizeta mikoplazmu infekcija					A49	Citas bakterialas slimibas				
A49.8										Citas bakterialas infekcijas ar neprecizetu lokalizaciju					A49	Citas bakterialas slimibas				
A49.9										Neprecizeta bakteriala infekcija					A49	Citas bakterialas slimibas				
A50										Iedzimts sifiliss					NULL	Parsvara seksuali transmisivas infekcijas	x	X		
A50.0										Agrins simptomatisks iedzimts sifiliss					A50	Parsvara seksuali transmisivas infekcijas	x	X	x	
A50.1										Latents agrins iedzimts sifiliss					A50	Parsvara seksuali transmisivas infekcijas	x	X	x	
A50.2										Neprecizets agrins iedzimts sifiliss					A50	Parsvara seksuali transmisivas infekcijas	x	X	x	
A50.3										Velina iedzimta sifilitiska oftalmopatija					A50	Parsvara seksuali transmisivas infekcijas	x	X	x	
A50.4										Velins iedzimts neirosifiliss [juvenils neirosifiliss]					A50	Parsvara seksuali transmisivas infekcijas	x	X	x	
A50.5										Citas velina simptomatiska iedzimta sifilisa formas					A50	Parsvara seksuali transmisivas infekcijas	x	X	x	
A50.6										Latents velins iedzimts sifiliss					A50	Parsvara seksuali transmisivas infekcijas	x	X	x	
A50.7										Neprecizets velins iedzimts sifiliss					A50	Parsvara seksuali transmisivas infekcijas	x	X	x	
A50.9										Neprecizets iedzimts sifiliss					A50	Parsvara seksuali transmisivas infekcijas	x	X	x	
A51										Svaigs sifiliss					NULL	Parsvara seksuali transmisivas infekcijas	x	X		
A51.0										Primars genitaliju sifiliss					A51	Parsvara seksuali transmisivas infekcijas	x	X	x	
A51.1										Primars anals sifiliss					A51	Parsvara seksuali transmisivas infekcijas	x	X	x	
A51.2										Citas lokalizacijas primars sifiliss					A51	Parsvara seksuali transmisivas infekcijas	x	X	x	
A51.3										Adas un glotadu sekundars sifiliss					A51	Parsvara seksuali transmisivas infekcijas	x	X	x	
A51.31										Adas un glotadu sekundars sifiliss,svaigs					A51.3	Parsvara seksuali transmisivas infekcijas	x	X	x	
A51.32										Adas un glotadu sekundars sifiliss, recidivs					A51.3	Parsvara seksuali transmisivas infekcijas	x	X	x	
A51.4										Citas sekundara sifilisa formas					A51	Parsvara seksuali transmisivas infekcijas	x	X	x	
A51.41										Citas sekundara sifilisa formas, svaigs					A51.4	Parsvara seksuali transmisivas infekcijas	x	X	x	
A51.42										Citas sekundara sifilisa formas, recidivs					A51.4	Parsvara seksuali transmisivas infekcijas	x	X	x	
A51.5										Latents svaigs sifiliss					A51	Parsvara seksuali transmisivas infekcijas	x	X	x	
A51.9										Neprecizets svaigs sifiliss					A51	Parsvara seksuali transmisivas infekcijas	x	X	x	
A52										Velins sifiliss					NULL	Parsvara seksuali transmisivas infekcijas	x	X		
A52.0										Kardiovaskulars sifiliss					A52	Parsvara seksuali transmisivas infekcijas	x	X	x	
A52.1										Simptomatisks neirosifiliss					A52	Parsvara seksuali transmisivas infekcijas	x	X	x	
A52.2										Asimptomatisks neirosifiliss					A52	Parsvara seksuali transmisivas infekcijas	x	X	x	
A52.3										Neprecizets neirosifiliss					A52	Parsvara seksuali transmisivas infekcijas	x	X	x	
A52.7										Velins sifiliss ar citu simptomatiku					A52	Parsvara seksuali transmisivas infekcijas	x	X	x	
A52.8										Latents velins sifiliss					A52	Parsvara seksuali transmisivas infekcijas	x	X	x	
A52.9										Neprecizets velins sifiliss					A52	Parsvara seksuali transmisivas infekcijas	x	X	x	
A53										Citi sifilisa veidi un neprecizets sifiliss					NULL	Parsvara seksuali transmisivas infekcijas	x	X		
A53.0										Latents sifiliss, neprecizejot svaigs vai velins					A53.0	Parsvara seksuali transmisivas infekcijas	x	X	x	
A53.9										Neprecizets sifiliss					A53.0	Parsvara seksuali transmisivas infekcijas	x	X	x	
A54										Gonokoku infekcija					NULL	Parsvara seksuali transmisivas infekcijas	x	X		
A54.0										Apaksejo urogenitalo organu gonokoku infekcija bez periuretralo vai papildu dziedzeru abscesa					A54	Parsvara seksuali transmisivas infekcijas	x	X	x	
A54.01										Apaksejo urogenitalo organu gonokoku infekcija bez periuretralo vai papildu dziedzeru abscesa, akuta					A54.0	Parsvara seksuali transmisivas infekcijas	x	X	x	
A54.02										Apaksejo urogenitalo organu gonokoku infekcija bez periuretralo vai papildu dziedzeru abscesa, hroniska					A54.0	Parsvara seksuali transmisivas infekcijas	x	X	x	
A54.1										Apaksejo urogenitalo organu gonokoku infekcija ar periuretralo un papildu dziedzeru abscesu					A54	Parsvara seksuali transmisivas infekcijas	x	X	x	
A54.2										Gonokoku pelvioperitonits un citas lokalizacijas urogenitala trakta gonokoku infekcija					A54	Parsvara seksuali transmisivas infekcijas	x	X	x	
A54.3										Acu gonokoku infekcija					A54	Parsvara seksuali transmisivas infekcijas	x	X	x	
A54.31										Acu gonokoku infekcija, akuta					A54.3	Parsvara seksuali transmisivas infekcijas	x	X	x	
A54.32										Acu gonokoku infekcija, hroniska					A54.3	Parsvara seksuali transmisivas infekcijas	x	X	x	
A54.4										Muskulaturas un skeleta gonokoku infekcija					A54	Parsvara seksuali transmisivas infekcijas	x	X	x	
A54.5										Gonokoku faringits					A54	Parsvara seksuali transmisivas infekcijas	x	X	x	
A54.51										Gonokoku faringits, akuts					A54.5	Parsvara seksuali transmisivas infekcijas	x	X	x	
A54.52										Gonokoku faringits, hronisks					A54.5	Parsvara seksuali transmisivas infekcijas	x	X	x	
A54.6										Tupla un taisnas zarnas gonokoku infekcija					A54	Parsvara seksuali transmisivas infekcijas	x	X	x	
A54.61										Tupla un taisnas zarnas gonokoku infekcija, akuta					A54.6	Parsvara seksuali transmisivas infekcijas	x	X	x	
