Code Type;Year;Code;Code Text;Change from 2012 to 2013?
ICD-10;2013;A543;Gonokokkinfeksjon i ?ye;
ICD-10;2013;A544;Gonokokkinfeksjon i muskel-skjelettsystem;
ICD-10;2013;A545;Gonokokkfaryngitt;
ICD-10;2013;A546;Gonokokkinfeksjon i endetarms?pning og endetarm;
ICD-10;2013;A548;Andre spesifiserte gonokokkinfeksjoner;
ICD-10;2013;A549;Uspesifisert gonokokkinfeksjon;
ICD-10;2013;A55;Klamydialymfogranulom;
ICD-10;2013;A560;Klamydiainfeksjon i nedre urogenitalsystem;
ICD-10;2013;A561;Klamydiainfeksjon i u.- og kj?nnsorganer el. pelviperitoneum;
ICD-10;2013;A562;Uspesifisert klamydiainfeksjon i kj?nnsorganer og urinveier;
ICD-10;2013;A563;Klamydiainfeksjon i endetarms?pning, analkanal og endetarm;
ICD-10;2013;A564;Klamydiainfeksjon i svelg;
ICD-10;2013;A568;Seksuelt overf?rt klamydiainfeksjon med annen spes. lok.;
ICD-10;2013;A57;Bl?t sjanker;
ICD-10;2013;A58;Granuloma inguinale;
ICD-10;2013;A590;Urogenital trikomonasinfeksjon;
ICD-10;2013;A598;Trikomonasinfeksjon med annen spesifisert lokalisasjon;
ICD-10;2013;A599;Uspesifisert trikomonasinfeksjon;
ICD-10;2013;A600;Herpesvirusinfeksjon i kj?nnsorganer og urinveier;
ICD-10;2013;A601;Herpesv.infek. i hud omkring e.tarm?pn., analk. og endetarm;
ICD-10;2013;A609;Uspesifisert anogenital herpesvirusinfeksjon;
ICD-10;2013;A630;Anogenitale (veneriske) vorter;
ICD-10;2013;A638;Andre spesifiserte hovedsakelig seksuelt overf?rbare sykd.;
ICD-10;2013;A64;Uspesifiserte seksuelt overf?rbare sykdommer;
ICD-10;2013;A65;Ikke-venerisk syfilis;
ICD-10;2013;A660;"Prim?re lesjoner ved ""yaws""";
ICD-10;2013;A661;"Multiple papillomer og ""wet crab yaws""";
ICD-10;2013;A662;"Andre tidlige hudlesjoner ved ""yaws""";
ICD-10;2013;A663;"Hyperkeratose ved ""yaws""";
ICD-10;2013;A664;"Gumma og ulcus ved ""yaws""";
ICD-10;2013;A665;Gangosa;
ICD-10;2013;A666;"Knokkel- og leddlesjoner ved ""yaws""";
ICD-10;2013;A667;"Andre manifestasjoner ved ""yaws""";
ICD-10;2013;A668;"Latent ""yaws""";
ICD-10;2013;A669;"Uspesifisert ""yaws""";
ICD-10;2013;A670;Prim?re lesjoner ved pinta;
ICD-10;2013;A671;Intermedi?re lesjoner ved pinta;
ICD-10;2013;A672;Sene lesjoner ved pinta;
ICD-10;2013;A673;Blandede lesjoner ved pinta;
ICD-10;2013;A679;Uspesifisert pinta;
ICD-10;2013;A680;Tilbakefallsfeber overf?rt ved lus;
ICD-10;2013;A681;Tilbakefallsfeber overf?rt ved fl?tt;
ICD-10;2013;A689;Uspesifisert tilbakefallsfeber;
ICD-10;2013;A690;Nekrotiserende ulcer?s stomatitt;
ICD-10;2013;A691;Andre Vincent-infeksjoner;
ICD-10;2013;A692;Borreliose;
ICD-10;2013;A698;Andre spesifiserte spiroketinfeksjoner;
ICD-10;2013;A699;Uspesifisert spiroketinfeksjon;
ICD-10;2013;A70;Chlamydia psittaci-infeksjon;
ICD-10;2013;A710;Tidlig stadium av trakom;
ICD-10;2013;A711;Aktivt stadium av trakom;
ICD-10;2013;A719;Uspesifisert trakom;
ICD-10;2013;A740;Klamydiakonjunktivitt;
ICD-10;2013;A748;Andre spesifiserte klamydiasykdommer;
ICD-10;2013;A749;Uspesifisert klamydiainfeksjon;
ICD-10;2013;A750;Epid. flekktyfus s.sk. Rickettsia prowazekii, overf. v. lus;
ICD-10;2013;A751;Flekktyfus med gjenoppblussing;
ICD-10;2013;A752;Flekktyfus som skyldes Rickettsia typhi;
ICD-10;2013;A753;Flekktyfus som skyldes Rickettsia tsutsugamushi;
ICD-10;2013;A759;Uspesifisert flekktyfus;
ICD-10;2013;A770;Flekkfeber som skyldes Rickettsia rickettsii;
ICD-10;2013;A771;Flekkfeber som skyldes Rickettsia conorii;
ICD-10;2013;A772;Flekkfeber som skyldes Rickettsia siberica;
ICD-10;2013;A773;Flekkfeber som skyldes Rickettsia australis;
ICD-10;2013;A778;Annen spesifisert flekkfeber;
ICD-10;2013;A779;Uspesifisert flekkfeber;
ICD-10;2013;A78;Q-feber;
ICD-10;2013;A790;Skyttergravsfeber;
ICD-10;2013;A791;Rickettsiainfeksjoner som skyldes Rickettsia akarii;
ICD-10;2013;A798;Andre spesifiserte rickettsioser;
ICD-10;2013;A799;Uspesifisert rickettsiose;
ICD-10;2013;A800;Akutt poliomyelitt med lammelse for?rsaket av vaksine;
ICD-10;2013;A801;Akutt polio m. lammelse for?rs. av imp. ville virusstammer;
ICD-10;2013;A802;Akutt polio m. lammelse for?rs. av ikke-imp. ville v.stammer;
ICD-10;2013;A803;Annen og uspesifisert akutt poliomyelitt med lammelse;
ICD-10;2013;A804;Akutt poliomyelitt uten lammelse;
ICD-10;2013;A809;Uspesifisert akutt poliomyelitt;
ICD-10;2013;A810;Creutzfeldt-Jakobs sykdom;
ICD-10;2013;A811;Subakutt skleroserende panencefalitt;
ICD-10;2013;A812;Progressiv multifokal leukoencefalopati;
ICD-10;2013;A818;Andre spesifiserte atypiske virusinfeksjoner i CNS;
ICD-10;2013;A819;Uspesifisert atypisk virusinfeksjon i sentralnervesystemet;
ICD-10;2013;A820;Sylvatisk rabies;
ICD-10;2013;A821;Urban rabies;
ICD-10;2013;A829;Uspesifisert rabies;
ICD-10;2013;A830;Japansk encefalitt;
ICD-10;2013;A831;Vestlig heste-encefalitt;
ICD-10;2013;A832;ùstlig heste-encefalitt;
ICD-10;2013;A833;St Louis-encefalitt;
ICD-10;2013;A834;Australsk encefalitt;
ICD-10;2013;A835;Californisk encefalitt;
ICD-10;2013;A836;Rociovirussykdom;
ICD-10;2013;A838;Annen spesifisert virusencefalitt overf?rt ved mygg;
ICD-10;2013;A839;Uspesifisert virusencefalitt overf?rt ved mygg;
ICD-10;2013;A840;Orientalsk encefalitt overf?rt ved fl?tt [RSSE];
ICD-10;2013;A841;Sentraleuropeisk encefalitt overf?rt ved fl?tt;
ICD-10;2013;A848;Annen spesifisert virusencefalitt overf?rt ved fl?tt;
ICD-10;2013;A849;Uspesifisert virusencefalitt overf?rt ved fl?tt;
ICD-10;2013;A850;Enterovirusencefalitt;
ICD-10;2013;A851;Adenovirusencefalitt;
ICD-10;2013;A852;Uspesifisert virusencefalitt overf?rt ved artropoder;
ICD-10;2013;A858;Annen spesifisert virusencefalitt;
ICD-10;2013;A86;Uspesifisert virusencefalitt;
ICD-10;2013;A870;Enterovirusmeningitt;
ICD-10;2013;A871;Adenovirusmeningitt;
ICD-10;2013;A872;Lymfocyttisk choriomeningitt;
ICD-10;2013;A878;Annen spesifisert virusmeningitt;
ICD-10;2013;A879;Uspesifisert virusmeningitt;
ICD-10;2013;A880;Enteroviral exsanthema og feber;
ICD-10;2013;A881;Smittsom svimmelhet;
ICD-10;2013;A888;Annen spesifisert virusinfeksjon i sentralnervesystemet;
ICD-10;2013;A89;Uspesifisert virusinfeksjon i sentralnervesystemet;
ICD-10;2013;A90;Denguefeber;
ICD-10;2013;A91;Hemoragisk denguefeber;
ICD-10;2013;A920;Chikungunyavirussykdom;
ICD-10;2013;A921;O'nyong-nyongfeber;
ICD-10;2013;A922;Venezuelansk hestefeber;
ICD-10;2013;A923;West Nile-virusinfeksjon;
ICD-10;2013;A924;Rift Valley-feber;
ICD-10;2013;A928;Andre spesifiserte virussykdommer overf?rt ved mygg;
ICD-10;2013;A929;Uspesifisert virussykdom overf?rt ved mygg;
ICD-10;2013;A930;Oropouchevirussykdom;
ICD-10;2013;A931;Sandfluefeber;
ICD-10;2013;A932;Coloradofl?ttfeber;
ICD-10;2013;A938;Andre spesifiserte virussykdommer overf?rt ved artropoder;
ICD-10;2013;A94;Uspesifisert virussykdom overf?rt ved artropoder;
ICD-10;2013;A950;Sylvatisk gulfeber;
ICD-10;2013;A951;Urban gulfeber;
ICD-10;2013;A959;Uspesifisert gulfeber;
ICD-10;2013;A960;Hemoragisk juninvirussykdom;
ICD-10;2013;A961;Hemoragisk machupovirussykdom;
ICD-10;2013;A962;Lassafeber;
ICD-10;2013;A968;Andre spesifiserte hemoragiske arenavirussykdommer;
ICD-10;2013;A969;Uspesifisert hemoragisk arenavirussykdom;
ICD-10;2013;A980;Hemoragisk krimfeber som skyldes Congo-CHF-virus;
ICD-10;2013;A981;Hemoragisk Omsk-feber;
ICD-10;2013;A982;Kyasanur Forest-sykdom;
ICD-10;2013;A983;Marburg-virussykdom;
ICD-10;2013;A984;Ebola-virussykdom;
ICD-10;2013;A985;Hemoragisk feber med renalt syndrom;
ICD-10;2013;A988;Andre spesifiserte hemoragiske virussykdommer;
ICD-10;2013;A99;Uspesifisert hemoragisk virussykdom;
ICD-10;2013;B000;Eczema herpeticum;
ICD-10;2013;B001;Vesikul?r herpesdermatitt;
ICD-10;2013;B002;Herpetisk gingivostomatitt og faryngotonsillitt;
ICD-10;2013;B003;Herpesmeningitt;
ICD-10;2013;B004;Herpesencefalitt;
ICD-10;2013;B005;Okul?r herpesvirussykdom;
ICD-10;2013;B007;Disseminert herpesvirussykdom;
ICD-10;2013;B008;Andre spesifiserte former for herpesvirusinfeksjon;
ICD-10;2013;B009;Uspesifisert herpesvirusinfeksjon;
ICD-10;2013;B010;Varicellameningitt;
ICD-10;2013;B011;Varicellaencefalitt;
ICD-10;2013;B012;Varicellapneumoni;
ICD-10;2013;B018;Varicella med andre komplikasjoner;
ICD-10;2013;B019;Varicella uten komplikasjoner;
ICD-10;2013;B020;Zosterencefalitt;
ICD-10;2013;B021;Zostermeningitt;
ICD-10;2013;B022;Herpes zoster med annen affeksjon av nervesystemet;
ICD-10;2013;B023;Herpes zoster-sykdom i ?ye;
ICD-10;2013;B027;Disseminert herpes zoster;
ICD-10;2013;B028;Herpes zoster med andre komplikasjoner;
ICD-10;2013;B029;Herpes zoster uten komplikasjoner;
ICD-10;2013;B03;Kopper;
ICD-10;2013;B04;Apekopper;
ICD-10;2013;B050;Meslinger med encefalitt som komplikasjon;
ICD-10;2013;B051;Meslinger med meningitt som komplikasjon;
ICD-10;2013;B052;Meslinger med pneumoni som komplikasjon;
ICD-10;2013;B053;Meslinger med mellom?rebetennelse som komplikasjon;
ICD-10;2013;B054;Meslinger med intestinale komplikasjoner;
ICD-10;2013;B058;Meslinger med andre komplikasjoner;
ICD-10;2013;B059;Meslinger uten komplikasjoner;
ICD-10;2013;B060;Rubella med nevrologiske komplikasjoner;
ICD-10;2013;B068;Rubella med andre komplikasjoner;
ICD-10;2013;B069;Rubella uten komplikasjoner;
ICD-10;2013;B07;Virusvorter;
ICD-10;2013;B080;Andre orthopoxvirusinfeksjoner;
ICD-10;2013;B081;Molluscum contagiosum;
ICD-10;2013;B082;Exanthema subitum;
ICD-10;2013;B083;Erythema infectiosum;
ICD-10;2013;B084;Vesikul?r stomatitt med eksantem som skyldes enterovirus;
ICD-10;2013;B085;Vesikul?r faryngitt som skyldes enterovirus;
ICD-10;2013;B088;Andre spes. v.infek. kj.tegn. ved hud- og slimhinnelesjoner;
ICD-10;2013;B09;Uspes. virusinfeksjon kj.tegn. ved hud- og slimhinnelesjoner;
ICD-10;2013;B150;Hepatitt A med leverkoma;
ICD-10;2013;B159;Hepatitt A uten leverkoma;
ICD-10;2013;B160;Akutt hepatitt B med delta-agens (koinfeksjon) og leverkoma;
ICD-10;2013;B161;Akutt hepatitt B med delta-agens (koinfeksjon) u. leverkoma;
ICD-10;2013;B162;Akutt hepatitt B uten delta-agens med leverkoma;
ICD-10;2013;B169;Akutt hepatitt B uten delta-agens og leverkoma;
ICD-10;2013;B170;Akutt delta(super)infeksjon hos b?rer av hepatitt B;
ICD-10;2013;B171;Akutt hepatitt C;
ICD-10;2013;B172;Akutt hepatitt E;
ICD-10;2013;B178;Annen spesifisert akutt virushepatitt;
ICD-10;2013;B179;Akutt uspesifisert virushepatitt;
ICD-10;2013;B180;Kronisk virushepatitt B med delta-agens;
ICD-10;2013;B181;Kronisk virushepatitt B uten delta-agens;
ICD-10;2013;B182;Kronisk virushepatitt C;
ICD-10;2013;B188;Annen spesifisert kronisk virushepatitt;
