KOD;TEXT;HÄNDELSE
A241;Akut och fulminant melioidos;0
A242;Subakut och kronisk melioidos;0
A243;Annan specificerad melioidos;0
A244;Melioidos, ospecificerad;0
A250;Spirillos;0
A251;Streptobacillos;0
A259;Råttbettsfeber, ospecificerad;0
A260;Kutan erysipeloid;0
A267;Sepsis orsakad av Erysipelothrix;0
A268;Andra specificerade former av erysipeloid;0
A269;Erysipeloid, ospecificerad;0
A270;Leptospirosis icterohaemorrhagica;0
A278;Andra specificerade former av leptospiros;0
A279;Leptospiros, ospecificerad;0
A280;Pasteurellos;0
A281;Cat-scratch-feber;0
A282;Extraintestinal yersinios;0
A288;Andra specificerade djurburna bakteriesjukdomar som ej klassificeras annorstädes;0
A289;Djurburen bakteriesjukdom, ospecificerad;0
A300;Obestämbar lepra;0
A301;Tuberkuloid lepra;0
A302;Borderline-tuberkuloid lepra;0
A303;Borderline-lepra;0
A304;Borderline-lepromatös lepra;0
A305;Lepromatös lepra;0
A308;Andra specificerade former av lepra;0
A309;Lepra, ospecificerad;0
A310;Mykobakteriell lungaffektion;0
A311;Mykobakteriell hudaffektion;0
A318;Andra specificerade mykobakteriella infektioner;0
A319;Mykobakteriell infektion, ospecificerad;0
A320;Hudlisterios;0
A321;Meningit och meningoencefalit orsakad av Listeria;0
A327;Sepsis orsakad av Listeria;0
A328;Andra former av listerios;0
A329;Listerios, ospecificerad;0
A339;Stelkramp hos nyfödd;0
A349;Obstetrisk stelkramp;0
A359;Annan stelkramp;0
A360;Svalgdifteri;0
A361;Difteri i nasofarynx;0
A362;Larynxdifteri;0
A363;Difteri i hud;0
A368;Andra former av difteri;0
A369;Difteri, ospecificerad;0
A370;Kikhosta orsakad av Bordetella pertussis;0
A371;Kikhosta orsakad av Bordetella parapertussis;0
A378;Kikhosta orsakad av andra specificerade bordetellaarter;0
A379;Kikhosta, ospecificerad;0
A389;Scharlakansfeber;0
A390;Meningokockmeningit;0
A391;Waterhouse-Friderichsens syndrom;0
A392;Akut meningokockemi;0
A393;Kronisk meningokockemi;0
A394;Meningokockemi, ospecificerad;0
A395;Hjärtsjukdom orsakad av meningokocker;0
A398;Andra meningokockinfektioner;0
A399;Meningokockinfektion, ospecificerad;0
A400;Sepsis orsakad av streptokocker grupp A;0
A401;Sepsis orsakad av streptokocker grupp B;0
A402;Sepsis orsakad av streptokocker grupp D;0
A403;Sepsis orsakad av Streptococcus pneumoniae;0
A408;Annan streptokocksepsis;0
A409;Streptokocksepsis, ospecificerad;0
A410;Sepsis orsakad av Staphylococcus aureus;0
A411;Sepsis orsakad av annan specificerad stafylokock;0
A412;Sepsis orsakad av icke specificerad stafylokock;0
A413;Sepsis orsakad av Haemophilus influenzae;0
A414;Sepsis orsakad av anaeroba bakterier;0
A415;Sepsis orsakad av andra gramnegativa organismer;0
A418;Andra specificerade former av sepsis;0
A419;Sepsis, ospecificerad;0
A420;Pulmonell aktinomykos;0
A421;Abdominell aktinomykos;0
A422;Cervikofacial aktinomykos;0
A427;Aktinomykotisk sepsis;0
A428;Andra specificerade former av aktinomykos;0
A429;Aktinomykos, ospecificerad;0
A430;Pulmonell nokardios;0
A431;Kutan nokardios;0
A438;Andra specificerade former av nokardios;0
A439;Nokardios, ospecificerad;0
A440;Systemisk bartonellos;0
A441;Kutan och mukokutan bartonellos;0
A448;Andra specificerade former av bartonellos;0
A449;Bartonellos, ospecificerad;0
A469;Rosfeber;0
A480;Gasgangrän;0
A481;Legionärsjuka;0
A482;Icke-pneumonisk legionärsjuka;0
A483;Toxic shock syndrome;0
A484;Brasiliansk purpurafeber;0
A488;Andra specificerade bakteriesjukdomar;0
A490;Stafylokockinfektion, ospecificerad lokalisation;0
A491;Streptokockinfektion, ospecificerad lokalisation;0
A492;Haemophilus influenzae-infektion, ospecificerad lokalisation;0
A493;Mykoplasmainfektion, ospecificerad lokalisation;0
A498;Infektion med andra bakterier, ospecificerad lokalisation;0
A499;Bakterieinfektion, ospecificerad;0
A500;Tidig medfödd syfilis med symtom;0
A501;Tidig medfödd latent syfilis;0
A502;Icke specificerad tidig medfödd syfilis;0
A503;Sen medfödd syfilitisk okulopati;0
A504;Sen medfödd neurosyfilis;0
A505;Annan sen medfödd syfilis med symtom;0
A506;Sen medfödd latent syfilis;0
A507;Icke specificerad sen medfödd syfilis;0
A509;Medfödd syfilis, ospecificerad;0
A510;Primär genital syfilis;0
A511;Primär anal syfilis;0
A512;Primär syfilis med andra lokalisationer;0
A513;Sekundär syfilis i hud och slemhinnor;0
A513A;Condyloma latum;0
A513B;Syfilitisk (sekundär) alopeci;0
A513C;Syfilitisk leukoderma;0
A513X;Sekundär syfilis i hud och slemhinnor, ospecificerad;0
A514;Annan sekundär syfilis;0
A515;Tidig latent syfilis;0
A519;Tidig syfilis, ospecificerad;0
A520;Kardiovaskulär syfilis;0
A521;Symtomatisk neurosyfilis;0
A522;Asymtomatisk neurosyfilis;0
A523;Neurosyfilis, ospecificerad;0
A527;Annan symtomatisk sen syfilis;0
A528;Sen latent syfilis;0
A529;Sen syfilis, ospecificerad;0
A530;Latent syfilis, ej specificerad som tidig eller sen;0
A539;Syfilis ospecificerad;0
A540;Gonokockinfektion i könsorganen och de nedre urinvägarna utan abscess i periuretrala eller accessoriska körtlar;0
A540A;Gonokockcervicit UNS;0
A540C;Gonokockuretrit UNS;0
A540D;Gonokockvulvovaginit UNS;0
A540E;Gonokockbalanit (akut) (kronisk);0
A540F;Gonokockorsakad lymfangit i penis;0
A540X;Gonokockinfektion i könsorgan och nedre urinvägar utan abscess, ospecificerad;0
A541;Gonokockinfektion i könsorganen och de nedre urinvägarna med abscess i periuretrala och accessoriska körtlar;0
A542;Gonokockpelviperitonit och andra gonokockinfektioner i urin- och könsorganen;0
A543;Gonokockinfektion i ögat;0
A544;Gonokockinfektion i muskuloskeletala systemet;0
A545;Gonokockfaryngit;0
A546;Gonokockinfektion i anus och rektum;0
A548;Andra gonokockinfektioner;0
A549;Gonokockinfektion, ospecificerad;0
A559;Lymfogranulom orsakat av klamydia;0
A560;Klamydiainfektion i nedre delen av urin- och könsorganen;0
A560A;Klamydiacervicit;0
A560C;Klamydiauretrit;0
A560D;Klamydiavulvovaginit;0
A560X;Klamydiainfektion i nedre delen av urin- och könsorganen, ospecificerad;0
A561;Klamydiainfektion i pelviperitoneum och andra urin- och könsorgan;0
A562;Klamydiainfektion i urin- och könsorganen, ospecificerad;0
A563;Klamydiainfektion i anus och rektum;0
A564;Klamydiainfektion i svalget;0
A568;Sexuellt överförd klamydiainfektion med andra specificerade lokalisationer;0
A579;Chankroid;0
A589;Granuloma inguinale;0
A590;Urogenital trikomonasinfektion;0
A598;Trikomonasinfektion med andra lokalisationer;0
A599;Trikomonasinfektion, ospecificerad;0
A600;Urogenital infektion med herpes simplex-virus;0
A601;Infektion med herpes simplex-virus i den perianala huden och rektum;0
A609;Anogenital infektion med herpes simplex-virus;0
A630;Condyloma acuminatum;0
A630A;Spetsiga kondylom;0
A630B;Platta kondylom;0
A630X;Kondylom, ospecificerade;0
A638;Andra specificerade huvudsakligen sexuellt överförda sjukdomar;0
A649;Icke specificerad sexuellt överförd sjukdom;0
A659;Icke venerisk syfilis;0
A660;Primärlesioner vid yaws;0
A661;Multipla papillom och wet crab yaws;0
A662;Andra tidiga hudlesioner vid yaws;0
A663;Hyperkeratos vid yaws;0
A664;Gumma och sår vid yaws;0
A665;Gangosa;0
A666;Ben- och ledlesioner vid yaws;0
A667;Andra manifestationer vid yaws;0
A668;Latent yaws;0
A669;Yaws, ospecificerad;0
A670;Primära lesioner vid pinta;0
A671;Intermediära lesioner vid pinta;0
A672;Sena lesioner vid pinta;0
A673;Blandade lesioner vid pinta;0
A679;Pinta, ospecificerad;0
A680;Återfallsfeber överförd av löss;0
A681;Återfallsfeber överförd av fästingar;0
A689;Återfallsfeber, ospecificerad;0
A690;Nekrotiserande ulcerös stomatit;0
A691;Andra Vincent-infektioner;0
A692;Infektion orsakad av Borrelia burgdorferi;0
A698;Andra specificerade spiroketinfektioner;0
A699;Spiroketinfektion, ospecificerad;0
A709;Infektion orsakad av Chlamydia psittaci;0
A710;Trakom i tidigt stadium;0
A711;Trakom i aktivt skede;0
A719;Trakom, ospecificerad;0
A740;Klamydiakonjunktivit;0
A748;Andra specificerade klamydiainfektioner;0
A749;Klamydiainfektion, ospecificerad;0
A750;Epidemisk fläcktyfus orsakad av Rickettsia prowazekii;0
A751;Fläcktyfus med återuppblossande;0
A752;Fläcktyfus orsakad av Rickettsia typhi;0
A753;Fläcktyfus orsakad av Rickettsia tsutsugamushi;0
A759;Fläcktyfus, ospecificerad;0
A770;Fläckfeber orsakad av Rickettsia rickettsii;0
A771;Fläckfeber orsakad av Rickettsia conorii;0
A772;Fläckfeber orsakad av Rickettsia sibirica;0
A773;Fläckfeber orsakad av Rickettsia australis;0
A778;Annan specificerad fläckfeber;0
A779;Fläckfeber, ospecificerad;0
A789;Q-feber;0
A790;Skyttegravsfeber;0
A791;Rickettsia-koppor orsakade av Rickettsia akari;0
A798;Andra specificerade rickettsiasjukdomar;0
A799;Rickettsiasjukdom, ospecificerad;0
A800;Akut polio med förlamningar orsakad av poliovaccinvirus;0
A801;Akut polio med förlamningar orsakad av vilt importerat virus;0
A802;Akut polio med förlamningar orsakad av vilt inhemskt virus;0
A803;Akut polio med förlamningar, annan och ospecificerad;0
A804;Akut polio utan förlamningar;0
A809;Akut polio, ospecificerad;0
A810;Creutzfeldt-Jakobs sjukdom;0
A811;Subakut skleroserande panencefalit;0
A812;Progressiv multifokal leukoencefalopati;0
A818;Andra atypiska virusinfektioner i centrala nervsystemet;0
A819;Atypisk virusinfektion i centrala nervsystemet, ospecificerad;0
A820;Rabies, sylvatisk form;0
A821;Rabies, urban form;0
A829;Rabies, ospecificerad;0
A830;Japansk encefalit;0
A831;Western equine encephalitis;0
A832;Eastern equine encephalitis;0
A833;St Louis encephalitis;0
A834;Australian encephalitis;0
A835;California encephalitis;0
A836;Rocio-virusencefalit;0
A838;Annan specificerad virusencefalit överförd av myggor;0
A839;Virusencefalit överförd av myggor, ospecificerad;0
A840;Fjärranösternencefalit överförd av fästingar;0
A841;Centraleuropeisk encefalit överförd av fästingar;0
A848;Annan specificerad virusencefalit överförd av fästingar;0
A849;Virusencefalit överförd av fästingar, ospecificerad;0
A850;Enteroviral encefalit;0
A851;Adenoviral encefalit;0
A852;Virusencefalit överförd av leddjur, ospecificerad;0
A858;Andra specificerade virusencefaliter;0
A869;Icke specificerad virusencefalit;0
A870;Meningit orsakad av enterovirus;0
A870A;Meningit av Coxsackievirus;0
A870B;Meningit av Echovirus;0
A870W;Meningit orsakad av annat specificerat enterovirus;0
A871;Meningit orsakad av adenovirus;0
A872;Lymfocytär koriomeningit;0
A878;Andra specificerade virusmeningiter;0
A879;Virusmeningit, ospecificerad;0
A880;Enteroviral exanthematous fever;0
A881;Epidemisk vertigo;0
A888;Andra specificerade virusinfektioner i centrala nervsystemet;0
A899;Icke specificerad virusinfektion i centrala nervsystemet;0
A909;Denguefeber;0
A919;Hemorragisk denguefeber;0
A920;Chikungunya-virussjukdom;0
A921;O'nyong-nyong-feber;0
A922;Venezuelan equine encephalitis;0
A923;West Nile virusinfektion;0
A924;Rift Valley fever;0
A928;Andra specificerade febersjukdomar orsakade av virus överförda av myggor;0
A929;Febersjukdom orsakad av virus överförd av myggor, ospecificerad;0
A930;Oropouche-virussjukdom;0
A931;Sandmyggefeber;0
A932;Colorado-fästingfeber;0
A938;Andra specificerade virusfebersjukdomar överförda av leddjur;0
A949;Icke specificerad febersjukdom orsakad av virus överfört av leddjur;0
A950;Gula febern, sylvatisk form;0
A951;Gula febern, urban form;0
A959;Gula febern, ospecificerad;0
A960;Hemorragisk junin-virusfeber;0
A961;Machupo hemorragisk feber;0
A962;Lassa-feber;0
A968;Andra specificerade arenavirala hemorragiska febrar;0
A969;Arenaviral hemorragisk feber, ospecificerad;0
A980;Centralasiatisk hemorragisk feber;0
A981;Omskfeber;0
A982;Kyasanur Forest disease;0
A983;Marburgfeber;0
A984;Ebolafeber;0
A985;Hemorragisk feber med njurpåverkan;0
A988;Andra specificerade virala hemorragiska febersjukdomar;0
A999;Icke specificerad hemorragisk febersjukdom orsakad av virus;0
B000;Eczema herpeticum;0
B001;Vesikulär dermatit orsakad av herpes simplex-virus;0
B001A;Herpes labialis;0
B001B;Herpes facialis;0
B001W;Vesikulär dermatit orsakad av herpes simplex-virus, annan lokalisation;0
B001X;Vesikulär dermatit orsakad av herpes simplex-virus, ospecificerad lokalisation;0
B002;Gingivostomatit och faryngotonsillit orsakade av herpes simplex-virus;0
B003;Meningit orsakad av herpes simplex-virus;0
B004;Encefalit orsakad av herpes simplex-virus;0
B005;Ögonsjukdom orsakad av herpes simplex-virus;0
B007;Disseminerad herpes simplex-infektion;0
B008;Andra specificerade former av infektion med herpes simplex-virus;0
B009;Herpes simplex-infektion, ospecificerad;0
B010;Vattkoppor med meningit;0
B011;Vattkoppsencefalit;0
B012;Vattkoppor med pneumoni;0
B018;Vattkoppor med andra specificerade komplikationer;0
B019;Vattkoppor utan komplikation;0
B020;Bältros med encefalit;0
B021;Bältros med meningit;0
B022;Bältros med andra komplikationer från nervsystemet;0
B023;Bältros med ögonkomplikationer;0
B027;Generaliserad bältros;0
B028;Bältros med andra specificerade komplikationer;0
B029;Bältros utan komplikation;0
B039;Smittkoppor;0
B049;Apkoppor;0
B050;Mässlingsencefalit;0
B051;Mässlingsmeningit;0
B052;Pneumoni som komplikation till mässling;0
B053;Otit som komplikation till mässling;0
B054;Mässling med tarmkomplikationer;0
B058;Mässling med andra specificerade komplikationer;0
B059;Mässling utan komplikation;0
B060;Röda hund med neurologiska komplikationer;0
B068;Röda hund med andra specificerade komplikationer;0
B069;Röda hund utan komplikation;0
B079;Virusvårtor;0
B079A;Verruca vulgaris;0
B079B;Verruca filiformis;0
B079C;Verruca plana;0
B079D;Verruca plantaris;0
B079W;Andra virusvårtor;0
B079X;Virusvårtor, ospecificerade;0
B080;Andra infektioner orsakade av ortopoxvirus;0
B080A;Ecthyma contagiosum;0
B080B;Falska kokoppor;0
B080C;Kokoppor;0
B080W;Annan och icke specificerad infektion orsakad av ortopoxvirus;0
B081;Mollusker;0
B082;Tredagarsfeber;0
B083;Erythema infectiosum;0
B084;Hand, foot and mouth disease;0
B085;Herpangina;0
B088;Andra specificerade virusinfektioner med hud- och slemhinneutslag;0
B099;Icke specificerad virusinfektion med hud- och slemhinneutslag;0
B150;Hepatit A med leverkoma;0
B159;Hepatit A utan leverkoma;0
B160;Akut hepatit B med hepatit D med leverkoma;0
B161;Akut hepatit B med hepatit D utan leverkoma;0
B162;Akut hepatit B utan hepatit D med leverkoma;0
B169;Akut hepatit B utan hepatit D, utan leverkoma;0
B170;Akut hepatit D hos hepatit B-bärare;0
B171;Akut hepatit C;0
B172;Akut hepatit E;0
B178;Annan specificerad akut virushepatit;0
B179;Akut virushepatit, ospecificerad;0
B180;Kronisk hepatit B med hepatit D;0
B180A;Kronisk hepatit B med hepatit D (coinfection), normal lever;0
B180B;Kronisk hepatit B med hepatit D (coinfection), ospecifik reaktiv hepatit;0
B180C;Kronisk hepatit B med hepatit D (coinfection), kronisk persisterande hepatit (KPH);0
B180D;Kronisk hepatit B med hepatit D (coinfection), kronisk aktiv hepatit (KAH);0
B180E;Kronisk hepatit B med hepatit D (coinfection), kronisk aktiv hepatit med cirros;0
B180F;Kronisk hepatit B med hepatit D (coinfection), fibros;0
B180G;Kronisk hepatit B med hepatit D (coinfection), cirros;0
B180H;Kronisk hepatit B med hepatit D (coinfection), steatos;0
B180W;Kronisk hepatit B med hepatit D (coinfection), annat histologiskt fynd;0
B180X;Kronisk hepatit B med hepatit D (coinfection), ej biopserad;0
B181;Kronisk hepatit B utan hepatit D;0
B181A;Kronisk hepatit B utan hepatit D, normal lever;0
B181B;Kronisk hepatit B utan hepatit D, ospecifik reaktiv hepatit;0
B181C;Kronisk hepatit B utan hepatit D, kronisk persisterande hepatit (KPH);0
B181D;Kronisk hepatit B utan hepatit D, kronisk aktiv hepatit (KAH);0
B181E;Kronisk hepatit B utan hepatit D, kronisk aktiv hepatit med cirros;0
B181F;Kronisk hepatit B utan hepatit D, fibros;0
B181G;Kronisk hepatit B utan hepatit D, cirros;0
B181H;Kronisk hepatit B utan hepatit D, steatos;0
B181W;Kronisk hepatit B utan hepatit D, annat histologiskt fynd;0
B181X;Kronisk hepatit B utan hepatit D, ej biopserad;0
B182;Kronisk hepatit C;0
B182A;Kronisk hepatit C, normal lever;0
B182B;Kronisk hepatit C, ospecifik reaktiv hepatit;0
B182C;Kronisk hepatit C, kroniskt persisterande hepatit (KPH);0
B182D;Kronisk hepatit C, kroniskt aktiv hepatit (KAH);0
B182E;Kronisk hepatit C, kronisk aktiv hepatit med cirros;0
B182F;Kronisk hepatit C, fibros;0
B182G;Kronisk hepatit C, cirros;0
B182H;Kronisk hepatit C, steatos;0
B182W;Kronisk hepatit C, annat histologiskt fynd;0
B182X;Kronisk hepatit C, ej biopserad;0
B188;Annan specificerad kronisk virushepatit;0
B188A;Annan specificerad kronisk virushepatit, normal lever;0
B188B;Annan specificerad kronisk virushepatit, ospecifik reaktiv hepatit;0
B188C;Annan specificerad kronisk virushepatit, kronisk persisterande hepatit (KPH);0
B188D;Annan specificerad kronisk virushepatit, kronisk aktiv hepatit (KAH);0
B188E;Annan specificerad kronisk virushepatit, kronisk aktiv hepatit med cirros;0
B188F;Annan specificerad kronisk virushepatit, fibros;0
B188G;Annan specificerad kronisk virushepatit, cirros;0
B188H;Annan specificerad kronisk virushepatit, steatos;0
B188W;Annan specificerad kronisk virushepatit, annat;0
B188X;Annan specificerad kronisk virushepatit, ej biopserad;0
B189;Kronisk virushepatit, ospecificerad;0
B189A;Kronisk virushepatit, ospecificerad, normal lever;0
B189B;Kronisk virushepatit, ospecificerad, ospecifik reaktiv hepatit;0
B189C;Kronisk virushepatit, ospecificerad, kronisk persisterande hepatit (KPH);0
B189D;Kronisk virushepatit, ospecificerad, kronisk aktiv hepatit (KAH);0
B189E;Kronisk virushepatit, ospecificerad, kronisk aktiv hepatit med cirros;0
B189F;Kronisk virushepatit, ospecificerad, fibros;0
B189G;Kronisk virushepatit, ospecificerad, cirros;0
B189H;Kronisk virushepatit, ospecificerad, steatos;0
B189W;Kronisk virushepatit, ospecificerad, annat histologiskt fynd;0
B189X;Kronisk virushepatit, ospecificerad, ej biopserad;0
B190;Icke specificerad virushepatit med leverkoma;0
B199;Icke specificerad virushepatit utan leverkoma;0
B200;HIV-infektion med mykobakterieinfektion;0
B201;HIV-infektion med andra bakterieinfektioner;0
B202;HIV-infektion med cytomegalvirusinfektion;0
B203;HIV-infektion med andra virusinfektioner;0
B204;HIV-infektion med candidainfektion;0
B205;HIV-infektion med andra mykoser;0
B206;HIV-infektion med Pneumocystis jirovecii (carinii)-pneumoni;0
B207;HIV-infektion med multipla infektioner;0
B208;HIV-infektion med andra infektions- och parasitsjukdomar;0
B209;HIV-infektion med icke specificerad infektions- eller parasitsjukdom;0
B210;HIV-infektion med Kaposis sarkom;0
B211;HIV-infektion med Burkitts lymfom;0
B212;HIV-infektion med andra typer av non-Hodgkin-lymfom;0
B213;HIV-infektion med andra maligna tumörer i lymfoid, blodbildande och besläktad vävnad;0
B217;HIV-infektion med multipla maligna tumörer;0
B218;HIV-infektion med andra specificerade maligna tumörer;0
B219;HIV-infektion med icke specificerad malign tumör;0
B220;HIV-infektion med encefalopati;0
B221;HIV-infektion med lymfoid interstitiell pneumonit;0
B222;HIV-infektion med extrem avmagring;0
B227;HIV-infektion med multipla sjukdomar som klassificeras annorstädes;0
B230;Akut HIV-infektionssyndrom;0
B231;HIV-infektion med generaliserad lymfadenopati;0
B232;HIV-infektion med hematologiska och immunologiska avvikelser som ej klassificeras annorstädes;0
B238;HIV-infektion med andra specificerade sjukdomstillstånd;0
B249;Icke specificerad sjukdom orsakad av humant immunbristvirus;0
B250;Cytomegalviruspneumonit;0
B251;Cytomegalvirushepatit;0
B252;Cytomegalviruspankreatit;0
B258;Andra specificerade cytomegalvirusinfektioner;0
B259;Cytomegalvirussjukdom, ospecificerad;0
B260;Påssjukeorkit;0
B261;Påssjukemeningit;0
B262;Påssjukeencefalit;0
B263;Påssjukepankreatit;0
B268;Påssjuka med andra specificerade komplikationer;0
B269;Påssjuka utan komplikation;0
B270;Mononukleos orsakad av Epstein-Barr-virus;0
B271;Mononukleos orsakad av cytomegalvirus;0
B278;Annan infektiös mononukleos;0
B279;Infektiös mononukleos, ospecificerad;0
B300;Keratokonjunktivit orsakad av adenovirus;0
B301;Konjunktivit orsakad av adenovirus;0
B302;Faryngokonjunktivit orsakad av virus;0
B303;Akut epidemisk hemorragisk konjunktivit;0
B308;Annan viruskonjunktivit;0
B309;Viruskonjunktivit, ospecificerad;0
B330;Epidemisk myalgi;0
B331;Ross River disease;0
B332;Viruskardit;0
B333;Retrovirusinfektion som ej klassificeras annorstädes;0
B334;Hantavirus med (kardio)pulmonellt syndrom [HPS] [HCPS];0
B338;Andra specificerade virussjukdomar;0
B340;Adenovirusinfektion, ospecificerad lokalisation;0
B341;Enterovirusinfektion, ospecificerad lokalisation;0
B341A;Enterovirus-infektion, Coxsackie, UNS;0
B341B;Enterovirus-infektion, Echo, UNS;0
