"D";"Klassifikation af sygdomme"
"DA320";"Listeriosis cutanea"
"DA321";"Meningitis og meningoencefalitis forårsaget af listeria"
"DA321A";"Listeria meningitis"
"DA321B";"Listeria meningoencephalitis"
"DA327";"Listeria sepsis"
"DA328";"Anden Listeriose"
"DA329";"Listeriose uden specifikation"
"DA33";"Stivkrampe hos nyfødte"
"DA339";"Stivkrampe hos nyfødte"
"DA34";"Stivkrampe i barselseng"
"DA349";"Stivkrampe i barselseng"
"DA35";"Anden stivkrampe"
"DA359";"Anden stivkrampe"
"DA36";"Difteri"
"DA360";"Tonsillitis diphtherica"
"DA361";"Nasopharyngitis diphtherica"
"DA361A";"Pharyngitis diphtherica"
"DA362";"Laryngitis diphtherica"
"DA362A";"Laryngotracheitis diphtherica"
"DA363";"Diphtheria cutanea"
"DA368";"Anden difteri"
"DA368A";"Conjunctivitis diphtherica"
"DA368B";"Diphtheria nasalis"
"DA368C";"Myocarditis diphtherica"
"DA368D";"Polyneuritis diphtherica"
"DA369";"Difteri uden specifikation"
"DA37";"Kighoste"
"DA370";"Kighoste forårsaget af Bordetella pertussis"
"DA371";"Kighoste forårsaget af Bordetella parapertussis"
"DA378";"Kighoste forårsaget af anden spec Bordetella infek"
"DA379";"Kighoste uden specifikation"
"DA38";"Skarlagensfeber"
"DA389";"Skarlagensfeber"
"DA39";"Infektion m meningokokker"
"DA390";"Meningitis meningococcica"
"DA391";"Waterhouse-Friderichsen's syndrom"
"DA392";"Akut meningokokbakteriæmi"
"DA392A";"Meningokokseptikæmi"
"DA393";"Kronisk meningokokbakteriæmi"
"DA394";"Meningokokbakteriæmi uden specifikation"
"DA395";"Hjertesygdom forårsaget af meningokokker"
"DA395A";"Carditis meningococcica"
"DA395B";"Endocarditis meningococcica"
"DA398";"Anden meningokokinfektion"
"DA398A";"Arthritis postmeningococcica"
"DA398B";"Neuritis nervi optici meningococcica"
"DA399";"Meningokokinfektion uden specifikation"
"DA40";"Blodforgiftning forårsaget af streptokokker"
"DA400";"Septikæmi forårsaget af Streptococcus A"
"DA401";"Septikæmi forårsaget af Streptococcus B"
"DA402";"Septikæmi forårsaget af Streptococcus D"
"DA403";"Septikæmi forårsaget af Streptococcus pneumoniae"
"DA408";"Septikæmi forårsaget af anden streptokok"
"DA409";"Septikæmi forårsaget af streptokokker uden specifikation"
"DA41";"Anden blodforgiftning"
"DA410";"Septikæmi forårsaget af Staphylococcus aureus"
"DA411";"Septikæmi forårsaget af anden specificeret stafylokok"
"DA411A";"Septicaemia med coagulase-negative stafylokokker"
"DA412";"Septikæmi forårsaget af stafylokokker uden specifikation"
"DA413";"Septikæmi forårsaget af Haemophilus influenzae"
"DA414";"Septikæmi forårsaget af anaërobe bakterier"
"DA415";"Septikæmi forårsaget af andre gram-negative organismer"
"DA418";"Anden septikæmi, som ikke kan klassificeret andetsteds"
"DA419";"Septikæmi uden specifikation"
"DA419A";"Septisk shock"
"DA419B";"Urosepsis"
"DA42";"Strålesvamp"
"DA420";"Pulmonal aktinomykose"
"DA421";"Abdominal actinomykose"
"DA422";"Cervikofacial aktinomykose"
"DA427";"Septikæmi forårsaget af aktinomycose"
"DA428";"Anden strålesvamp"
"DA429";"Strålesvamp uden specifikation"
"DA43";"Nokardiose"
"DA439";"Nokardiose"
"DA44";"Bartonellose"
"DA449";"Bartonellose"
"DA46";"Rosen"
"DA469";"Erysipelas"
"DA48";"Andre bakterielle sygdomme, ikke klassificeret andetsteds"
"DA480";"Gasgangræn"
"DA481";"Legionærsygdom"
"DA482";"Legionærsygdom u lungebetændelse"
"DA483";"Toksisk shock syndrom"
"DA484";"Brasiliansk purpurafeber"
"DA484A";"Haemophilus aegypticus infektion, systemisk"
"DA488";"Andre specificerede bakterielle sygdomme"
"DA488A";"Trichomycosis axillaris"
"DA49";"Bakteriel infektion u angivelse af lokalisation"
"DA490";"Stafylokokinfektion uden specifikation"
"DA491";"Streptokokinfektion uden specifikation"
"DA491A";"Perianal streptokokinfektion"
"DA492";"Infektion m Haemophilus influenzae"
"DA493";"Mycoplasma infektion uden specifikation"
"DA498";"Andre bakterielle infektion m ukendt lokalisation"
"DA499";"Bakteriel infektion uden specifikation"
"DA499A";"Bakteriæmi"
"DA50";"Medfødt syfilis"
"DA500";"Syfilis, symptomgivende medfødt før 2 årsalder"
"DA501";"Syfilis, medfødt + serol - spinalvæskereak før 2 årsalder"
"DA501A";"Syfilis, medfødt seropositiv uden kliniske manifestationer"
"DA502";"Syfilis, tidlig medfødt uden specifikation"
"DA503";"Syfilis, sen medfødt hornhindebetændelse"
"DA504";"Syfilis, sen medfødt neuro-"
"DA505";"Syfilis, anden sen medfødt m symptomer efter 2 årsalder"
"DA505A";"Hutchinson's triade"
"DA505B";"Hutchinson's tænder"
"DA505C";"Saddelnæse, syfilitisk"
"DA506";"Syfilis, sen mfødt + serol - spinalvæskereak efter 2 årsald"
"DA507";"Syfilis, sen medfødt uden specifikation efter 2 årsalder"
"DA509";"Syfilis, medfødt uden specifikation"
"DA51";"Syfilis, frisk"
"DA510";"Syfilis, primær genital"
"DA510A";"Chanker syphiliticum"
"DA511";"Syfilis, primær anal"
"DA512";"Syfilis, primær andre lokalisationer"
"DA513";"Syfilis, sekundær i hud og slimhinde"
"DA513A";"Condyloma latum"
"DA513B";"Håraffald, syfilitisk"
"DA513C";"Syphilis secundaria cutanea"
"DA513D";"Syphilis secundaria mucosae"
"DA513E";"Roseola syphilitica"
"DA514";"Syfilis, anden sekundær"
"DA514A";"Lymphadenopathia syphilitica"
"DA514B";"Meningitis syphilitica"
"DA515";"Syfilis, frisk +serol-spinal- væskereakt<2 år eft. Infektio"
"DA519";"Syfilis, frisk uden specifikation"
"DA52";"Syfilis i sent stadium"
"DA520";"Syfilis i hjerte og kar"
"DA520A";"Aneurisma aortae syphilitica"
"DA520B";"Aortitis, syfilitisk"
"DA521";"Syfilis i nervesystem m symptomer"
"DA521A";"Neurosyphilis symptomatica"
"DA521B";"Paralysis generalis syphilitica"
"DA521C";"Polyneuropathia syphilitica"
"DA521D";"Tabes dorsalis"
"DA522";"Syfilis, asymptomatisk neuro-"
"DA523";"Syfilis, neuro-  uden specifikation"
"DA527";"Syfilis, anden symptomgivende i sent stadium"
"DA527A";"Gumma syphiliticum"
"DA527B";"Syfilis i knogle uden angivelse af stadium"
"DA528";"Syfilis, sen + serol - spinalvprøve, >2 år efter infektion"
"DA529";"Syfilis i sent stadium uden specifikation"
"DA53";"Syfilis, anden og uden specifikation"
"DA530";"Syfilis, latent uden specifikation om tidlig eller sen"
"DA538";"Syfilis, anden spec"
"DA539";"Syfilis uden specifikation"
"DA54";"Gonokokinfektion"
"DA540";"Gonokokinfektion af nedre urin- og kønsorganer"
"DA540A";"Cervicitis gonococcica"
"DA540B";"Cystitis gonococcica"
"DA540C";"Gonorrhoea genitalis"
"DA540D";"Urethritis gonococcica"
"DA540E";"Vulvovaginitis gonococcica"
"DA540F";"Balanoposthitis gonococcica"
"DA541";"Gonokokinfektion m byld omkring urinrør"
"DA541A";"Abscessus urogenitalis gonococcica"
"DA541B";"Bartholinitis gonococcica"
"DA542";"Pelveoperitonitis gonococcica"
"DA542A";"Endometritis gonococcica"
"DA542B";"Oophoritis gonococcica"
"DA542C";"Parametritis gonococcica"
"DA543";"Gonokokinfektion i øje"
"DA543A";"Ophthalmia neonatorum gonococcica"
"DA544";"Gonokokinfektion i led og muskler"
"DA544A";"Arthritis gonorrhoica"
"DA544B";"Osteomyelitis gonococcica"
"DA544C";"Synovitis gonococcica"
"DA544D";"Tendovaginitis gonococcica"
"DA545";"Gonokokinfektion i svælget"
"DA546";"Gonokokinfektion i anus og rectum"
"DA546A";"Gonokokinfektion i anus"
"DA546B";"Gonokokinfektion i rectum"
"DA548";"Gonokokinfektion, anden specificeret"
"DA548A";"Abscessus gonococcica cerebri"
"DA548B";"Dermatitis, gonoroisk"
"DA548C";"Endocarditis gonococcica"
"DA548D";"Meningitis, gonoroisk"
"DA548E";"Myocarditis, gonoroisk"
"DA548F";"Pneumonia gonococcica"
"DA548G";"Septicaemia gonococcica"
"DA548H";"Dermatitis arthritis syndrom (gonoré)"
"DA549";"Gonokokinfektion uden specifikation"
"DA55";"Lymphogranuloma venereum forårsaget af Chlamydia infektion"
"DA559";"Lymphogranuloma venereum forårsaget af Chlamydia infektion"
"DA56";"Chlamydia infek, andre seksuelt overførte"
"DA560";"Infektion m Chlamydia i nedre urin- og kønsorganer"
"DA560A";"Cervicitis Chlamydiae"
"DA560B";"Chlamydia infektion i nedre urin- og kønsorganer"
"DA560C";"Cystitis Chlamydiae"
"DA560D";"Urethritis Chlamydiae"
"DA560E";"Vulvovaginitis Chlamydiae"
"DA561";"Infektion m Chlamydia i det nedre bækken mm"
"DA561A";"Epididymitis Chlamydiae"
"DA561B";"Orchitis Chlamydiae"
"DA561C";"Parametritis Chlamydiae"
"DA562";"Infek m Chlamydia i urin- og kønsorganer uden specifikation"
"DA563";"Infektion m Chlamydia i anus og rectum"
"DA563A";"Infectio Chlamydiae ani"
"DA563B";"Infectio Chlamydiae recti"
"DA564";"Infektion m Chlamydiae i svælget"
"DA568";"Chlamydia-infektion, seksuelt overført m anden lokalisation"
"DA568A";"Arthritis Chalmydiae"
"DA57";"Blød chanker"
"DA579";"Ulcus molle"
"DA58";"Granuloma inguinale"
"DA589";"Granuloma inguinale"
"DA59";"Trichomonasinfektion"
"DA590";"Trichomoniasis urogenitalis"
"DA590A";"Trichomonas leukorrhoea vaginalis"
"DA590B";"Trichomonas prostatitis"
"DA590C";"Trichomonas vaginitis"
"DA598";"Trichomonasinfektion m anden lokalisation"
"DA599";"Trichomonasinfek uden specifikation"
"DA60";"Herpes virus infek i anogenital region"
"DA600";"Herpes virus infek i urinveje og kønsorganer"
"DA600A";"Herpes viralis genitalis feminae"
"DA600B";"Herpes viralis genitalis masculinae"
"DA601";"Herpes virus infektion i hud omkring endetarm"
"DA601A";"Herpes viralis ani"
"DA601B";"Herpes viralis perianalis"
"DA601C";"Infectio herpes viralis recti"
"DA609";"Herpes virus infek i anogenital region uden specifikation"
"DA63";"Sygdomme, andre seksuelt overf ikke klassificeret andetsted"
"DA630";"Condyloma acuminatum i anogenitalregionen"
"DA630B";"Urethrale condylomer"
"DA630C";"Genitale condylomer"
"DA630D";"Anale condylomer"
"DA638";"Sygdomme, andre seksuelt overf ikke klassificeret andetsted"
"DA638A";"Gardnerella infektion"
"DA64";"Sygdom, seksuelt overført uden specifikation"
"DA649";"Sygdom, seksuelt overført uden specifikation"
"DA65";"Syfilis, ikke venerisk"
"DA659";"Syfilis, ikke venerisk"
"DA66";"Yaws"
"DA669";"Yaws"
"DA669A";"Framboesia"
"DA67";"Pinta"
"DA679";"Pinta"
"DA68";"Tilbagefaldsfeber"
"DA680";"Febris recurrens per Pediculum"
"DA681";"Febris recurrens per Ixodidam"
"DA689";"Febris recurrens uden specifikation"
"DA69";"Spirokæter, andre infektioner forårsaget af"
"DA690";"Mundbetændelse forårsaget af Spirokæte"
"DA690A";"Cancrum oris"
"DA690B";"Noma"
"DA690C";"Stomatitis ulcerosa Vincent"
"DA691";"Vincent's infektioner, andre"
"DA691A";"Angina ulcerosa Vincent"
"DA691B";"Pharyngitis, spirokætebetinget"
"DA691C";"Vincent's angina"
"DA691E";"Stomatitis acuta necroticans ulcerativa"
"DA691F";"Gingivitis Vincent"
"DA691G";"Pharyngitis fusospirochaetalis"
"DA692";"Lyme's sygdom"
"DA692A";"Borrelia acrodermatitis"
"DA692B";"Borrelia arthritis"
"DA692C";"Borrelia carditis"
"DA692D";"Borrelia polyradiculitis"
"DA692E";"Borreliosis"
"DA692F";"Erythema chronicum migrans (Borrelia)"
"DA692G";"Polyradiculitis ved Borrelia infektion"
"DA698";"Spirokæte infektioner, andre specificerede"
"DA699";"Spirokæte infektion uden specifikation"
"DA70";"Chlamydia psittaci infektion"
"DA709";"Chlamydia psittaci infektion"
"DA709A";"Ornithosis"
"DA709B";"Psittacosis"
"DA71";"Ægyptisk øjensygdom"
"DA719";"Trachoma"
"DA74";"Chlamydia infektion, andre sygdomme forårsaget af"
"DA740";"Konjunktivitis forårsaget af Chlamydia infekt undt nyfødte"
"DA748";"Chlamydia infektion, anden"
"DA748A";"Peritonitis Chlamydiae"
"DA749";"Chlamydia infektion uden specifikation"
"DA75";"Rickettsiose overført af lus"
"DA759";"Plettyfus"
"DA759A";"Rickettsiose overført af lus"
"DA759B";"Tsutsugamushi fever"
"DA77";"Rickettsiose overført af flåt"
"DA779";"Rickettsiose overført af flåt uden specifikation"
"DA78";"Q feber"
"DA789";"Q feber"
"DA79";"Rickettsiose, anden"
"DA799";"Rickettsiose uden specifikation"
"DA80";"Polio, akut (børnelammelse)"
"DA800";"Polio, akut m lammelser forårsaget af vaccine"
"DA801";"Polio, akut m lammelser forårsaget af importeret virus"
"DA802";"Polio, akut m lammelser forårsaget af vildt polio virus"
"DA803";"Polio, akut m lammelser, anden og uden specifikation"
"DA804";"Polio, akut u lammelser"
"DA809";"Polio, akut uden specifikation"
"DA81";"Sløve virus infek i centralnervesystemet"
"DA810";"Jakob-Creutzfeldt's sygdom"
"DA811";"Subakut skleroserende panencephalitis"
"DA812";"Leukoencephalopathia progressiva multifocalis"
"DA818";"Sløv virus infektion, anden i centralnervesystemet"
"DA818A";"Kuru"
"DA818B";"Fatal familiær insomni"
"DA819";"Sløv virus infektion i centralnervesystemet uden specif"
"DA82";"Hundegalskab"
"DA829";"Rabies"
"DA83";"Viral hjernebetændelse overført af myg"
"DA830";"Encephalitis japonica"
"DA838";"Viral hjernebetændelse, anden overført af myg"
"DA839";"Viral hjernebetændelse overført af myg uden specifikation"
"DA84";"Viral hjernebetændelse overført af flåt"
"DA840";"Encephalitis viralis (Russian spring-summer)"
"DA840A";"Meningoencephalitis viralis per ixodidam"
"DA841";"Encephalitis viralis centraleuropæisk"
"DA848";"Viral hjernebetændelse, anden overført af flåt"
"DA849";"Encephalitis viralis per Ixodidam uden specifikation"
"DA85";"Viral hjernebetændelse, viral ikke klassificeret andetsteds"
"DA850";"Encephalitis enteroviralis"
"DA850A";"Encephalomyelitis enteroviralis"
"DA851";"Encephalitis adenoviralis"
"DA851A";"Encephalomyelitis adenoviralis"
"DA851B";"Meningoencephalitis adenoviralis"
"DA852";"Encephalitis viralis per arthropoda uden specifikation"
"DA858";"Viral hjernebetændelse, anden specificeret"
"DA858A";"Economo morbus"
"DA858B";"Encephalitis lethargica"
"DA86";"Viral hjernebetændelse uden specifikation"
"DA869";"Encephalitis viralis uden specifikation"
"DA87";"Viral hjernehindebetændelse"
"DA870";"Meningitis enteroviralis"
"DA870A";"Meningitis Coxsackie"
"DA870B";"Meningitis Echovirus"
"DA871";"Meningitis adenoviralis"
"DA872";"Choriomeningitis lymphocytaria"
"DA872A";"Meningoencephalitis lymphocytaria"
"DA878";"Viral hjernehindebetændelse, anden"
"DA879";"Meningitis viralis uden specifikation"
"DA88";"Virale infek i CNS, andre ikke klassificeret andetsteds"
"DA880";"Febris enteroviralis exanthematica (Boston)"
"DA881";"Vertigo epidemica"
"DA888";"Virale infek i centralnervesystemet, andre specificerede"
"DA89";"Viral infektion i centralnervesystemet uden specifikation"
"DA899";"Viral infektion i centralnervesystemet uden specifikation"
