kóði;enskt heiti;;staða
A08.2;Adenoviral enteritis;;1
A08.3;Other viral enteritis;;1
A08.4;Viral intestinal infection, unspecified;;1
A08.5;Other specified intestinal infections;;1
A09;Other gastroenteritis and colitis of presumed infectious and unspecified origin;;1
A09.0;Other and unspecified gastroenteritis and colitis of infectious origin;;1
A09.9;Gastroenteritis and colitis of unspecified origin;;1
A15.0;Tuberculosis of lung, confirmed by sputum microscopy with or without culture;;1
A15.1;Tuberculosis of lung, confirmed by culture only;;1
A15.2;Tuberculosis of lung, confirmed histologically;;1
A15.3;Tuberculosis of lung, confirmed by unspecified means;;1
A15.4;Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;;1
A15.5;Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;;1
A15.6;Tuberculous pleurisy, confirmed bacteriologically and histologically;;1
A15.7;Primary respiratory tuberculosis, confirmed bacteriologically and histologically;;1
A15.8;Other respiratory tuberculosis, confirmed bacteriologically and histologically;;1
A15.9;Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically;;1
A16.0;Tuberculosis of lung, bacteriologically and histologically negative;;1
A16.1;Tuberculosis of lung, bacteriological and histological examination not done;;1
A16.2;Tuberculosis of lung, without mention of bacteriological or histological confirmation;;1
A16.3;Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation;;1
A16.4;Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation;;1
A16.5;Tuberculous pleurisy, without mention of bacteriological or histological confirmation;;1
A16.7;Primary respiratory tuberculosis without mention of bacteriological or histological confirmation;;1
A16.8;Other respiratory tuberculosis, without mention of bacteriological or histological confirmation;;1
A16.9;Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation;;1
A17.0;Tuberculosis of meningitis (cerebral)(spinal) (G01*);;1
A17.1;Meningeal tuberculoma (G07*);;1
A17.8;Other tuberculosis of nervous system;;1
A17.9;Tuberculosis of nervous system, unspecified (G99.8*);;1
A18.0;Tuberculosis of bones and joints;;1
A18.1;Tuberculosis of genitourinary system;;1
A18.2;Tuberculous peripheral lymphadenopathy;;1
A18.3;Tuberculosis of intestines, peritoneum and mesenteric glands;;1
A18.4;Tuberculosis of skin and subcutaneous tissue;;1
A18.5;Tuberculosis of eye;;1
A18.6;Tuberculosis of ear;;1
A18.7;Tuberculosis of adrenal glands (E35.1*);;1
A18.8;Tuberculosis of other specified organs;;1
A19.0;Acute miliary tuberculosis of a single specified site;;1
A19.1;Acute miliary tuberculosis of multiple sites;;1
A19.2;Acute miliary tuberculosis, unspecified;;1
A19.8;Other miliary tuberculosis;;1
A19.9;Miliary tuberculosis, unspecified;;1
A20.0;Bubonic plague;;1
A20.1;Cellulocutaneous plague;;1
A20.2;Pneumonic plague;;1
A20.3;Plague meningitis;;1
A20.7;Septicaemic plague;;1
A20.8;Other forms of plague;;1
A20.9;Plague, unspecified;;1
A21.0;Ulceroglandular tularaemia;;1
A21.1;Oculoglandular tularaemia;;1
A21.2;Pulmonary tularaemia;;1
A21.3;Gastrointestinal tularaemia;;1
A21.7;Generalized tularaemia;;1
A21.8;Other forms of tularaemia;;1
A21.9;Tularaemia, unspecified;;1
A22.0;Cutaneous anthrax;;1
A22.1;Pulmonary anthrax;;1
A22.2;Gastrointestinal anthrax;;1
A22.7;Anthrax sepsis;;1
A22.8;Other forms of anthrax;;1
A22.9;Anthrax, unspecified;;1
A23.0;Brucellosis due to Brucella melitensis;;1
A23.1;Brucellosis due to Brucella abortus;;1
A23.2;Brucellosis due to Brucella suis;;1
A23.3;Brucellosis due to Brucella canis;;1
A23.8;Other brucellosis;;1
A23.9;Brucellosis, unspecified;;1
A24.0;Glanders;;1
A24.1;Acute and fulminating melioidosis;;1
A24.2;Subacute and chronic melioidosis;;1
A24.3;Other melioidosis;;1
A24.4;Melioidosis, unspecified;;1
A25.0;Spirillosis;;1
A25.1;Streptobacillosis;;1
A25.9;Rat-bite fever, unspecified;;1
A26.0;Cutaneous erysipeloid;;1
A26.7;Erysipelothrix sepsis;;1
A26.8;Other forms of erysipeloid;;1
A26.9;Erysipeloid, unspecified;;1
A27.0;Leptospirosis icterohaemorrhagica;;1
A27.8;Other forms of leptospirosis;;1
A27.9;Leptospirosis, unspecified;;1
A28.0;Pasteurellosis;;1
A28.1;Cat-scratch disease;;1
A28.2;Extraintestinal yersiniosis;;1
A28.8;Other specified zoonotic bacterial diseases, not elsewhere classified;;1
A28.9;Zoonotic bacterial disease, unspecified;;1
A30.0;Indeterminate leprosy;;1
A30.1;Tuberculoid leprosy;;1
A30.2;Borderline tuberculoid leprosy;;1
A30.3;Borderline leprosy;;1
A30.4;Borderline lepromatous leprosy;;1
A30.5;Lepromatous leprosy;;1
A30.8;Other forms of leprosy;;1
A30.9;Leprosy, unspecified;;1
A31.0;Pulmonary mycobacterial infection;;1
A31.1;Cutaneous mycobacterial infection;;1
A31.8;Other mycobacterial infections;;1
A31.9;Mycobacterial infection, unspecified;;1
A32.0;Cutaneous listeriosis;;1
A32.1;Listerial meningitis and meningoencephalitis;;1
A32.7;Listerial sepsis;;1
A32.8;Other forms of listeriosis;;1
A32.9;Listeriosis, unspecified;;1
A33;Tetanus neonatorum;;1
A34;Obstetrical tetanus;;1
A35;Other tetanus;;1
A36.0;Pharyngeal diphtheria;;1
A36.1;Nasopharyngeal diphtheria;;1
A36.2;Laryngeal diphtheria;;1
A36.3;Cutaneous diphtheria;;1
A36.8;Other diphtheria;;1
A36.9;Diphtheria, unspecified;;1
A37.0;Whooping cough due to Bordetella pertussis;;1
A37.1;Whooping cough due to Bordetella parapertussis;;1
A37.8;Whooping cough due to other Bordetella species;;1
A37.9;Whooping cough, unspecified;;1
A38;Scarlet fever;;1
A39.0;Meningococcal meningitis (G01*);;1
A39.1;Waterhouse Friderichsen syndrome (E35.1*);;1
A39.2;Acute meningococcaemia;;1
A39.3;Chronic meningococcaemia;;1
A39.4;Meningococcaemia, unspecified;;1
A39.5;Meningococcal heart disease;;1
A39.8;Other meningococcal infections;;1
A39.9;Meningococcal infection, unspecified;;1
A40.0;Sepsis due to streptococcus, group A;;1
A40.1;Sepsis due to streptococcus, group B;;1
A40.2;Sepsis due to streptococcus, group D;;1
A40.3;Sepsis due to Streptococcus pneumoniae;;1
A40.8;Other streptococcal sepsis;;1
A40.9;Streptococcal sepsis, unspecified;;1
A41.0;Sepsis due to Staphylococcus aureus;;1
A41.1;Sepsis due to other specified staphylococcus;;1
A41.2;Sepsis due to unspecified staphylococcus;;1
A41.3;Sepsis due to Haemophilus influenzae;;1
A41.4;Sepsis due to anaerobes;;1
A41.5;Sepsis due to other Gram-negative organisms;;1
A41.8;Other specified sepsis;;1
A41.9;Sepsis, unspecified;;1
A42.0;Pulmonary actinomycosis;;1
A42.1;Abdominal actinomycosis;;1
A42.2;Cervicofacial actinomycosis;;1
A42.7;Actinomycotic sepsis;;1
A42.8;Other forms of actinomycosis;;1
A42.9;Actinomycosis, unspecified;;1
A43.0;Pulmonary nocardiosis;;1
A43.1;Cutaneous nocardiosis;;1
A43.8;Other forms of nocardiosis;;1
A43.9;Nocardiosis, unspecified;;1
A44.0;Systemic bartonellosis;;1
A44.1;Cutaneous and mucocutaneous bartonellosis;;1
A44.8;Other forms of bartonellosis;;1
A44.9;Bartonellosis, unspecified;;1
A46;Erysipelas;;1
A48.0;Gas gangrene;;1
A48.1;Legionnaires' disease;;1
A48.2;Nonpneumonic Legionnaires' disease [Pontiac fever];;1
A48.3;Toxic shock syndrome;;1
A48.4;Brazilian purpuric fever;;1
A48.8;Other specified bacterial diseases;;1
A49.0;Staphylococcal infection, unspecified site;;1
A49.1;Streptococcal infection, unspecified site;;1
A49.2;Haemophilus influenzae infection, unspecified site;;1
A49.3;Mycoplasma infection, unspecified site;;1
A49.8;Other bacterial infections of unspecified site;;1
A49.9;Bacterial infection, unspecified;;1
A50.0;Early congenital syphilis, symptomatic;;1
A50.1;Early congenital syphilis, latent;;1
A50.2;Early congenital syphilis, unspecified;;1
A50.3;Late congenital syphilitic oculopathy;;1
A50.4;Late congenital neurosyphilis [juvenile neurosyphilis];;1
A50.5;Other late congenital syphilis, symptomatic;;1
A50.6;Late congenital syphilis, latent;;1
A50.7;Late congenital syphilis, unspecified;;1
A50.9;Congenital syphilis, unspecified;;1
A51.0;Primary genital syphilis;;1
A51.1;Primary anal syphilis;;1
A51.2;Primary syphilis of other sites;;1
A51.3;Secondary syphilis of skin and mucous membranes;;1
A51.4;Other secondary syphilis;;1
A51.5;Early syphilis, latent;;1
A51.9;Early syphilis, unspecified;;1
A52.0;Cardiovascular syphilis;;1
A52.1;Symptomatic neurosyphilis;;1
A52.2;Asymptomatic neurosyphilis;;1
A52.3;Neurosyphilis, unspecified;;1
A52.7;Other symptomatic late syphilis;;1
A52.8;Late syphilis, latent;;1
A52.9;Late syphilis, unspecified;;1
A53.0;Latent syphilis, unspecified as early or late;;1
A53.9;Syphilis, unspecified;;1
A54.0;Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess;;1
A54.1;Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess;;1
A54.2;Gonococcal pelviperitonitis and other gonococcal genitourinary infections;;1
A54.3;Gonococcal infection of eye;;1
A54.4;Gonococcal infection of musculoskeletal system;;1
A54.5;Gonococcal pharyngitis;;1
A54.6;Gonococcal infection of anus and rectum;;1
A54.8;Other gonococcal infections;;1
A54.9;Gonococcal infection, unspecified;;1
A55;Chlamydial lymphogranuloma (venereum);;1
A56.0;Chlamydial infection of lower genitourinary tract;;1
A56.1;Chlamydial infection of pelviperitoneum and other genitourinary organs;;1
A56.2;Chlamydial infection of genitourinary tract, unspecified;;1
A56.3;Chlamydial infection of anus and rectum;;1
A56.4;Chlamydial infection of pharynx;;1
A56.8;Sexually transmitted chlamydial infection of other sites;;1
A57;Chancroid;;1
A58;Granuloma inguinale;;1
A59.0;Urogenital trichomoniasis;;1
A59.8;Trichomoniasis of other sites;;1
A59.9;Trichomoniasis, unspecified;;1
A60.0;Herpesviral infection of genitalia and urogenital tract;;1
A60.1;Herpesviral infection of perianal skin and rectum;;1
A60.9;Anogenital herpesviral infection, unspecified;;1
A63.0;Anogenital (venereal) warts;;1
A63.8;Other specified predominantly sexually transmitted diseases;;1
A64;Unspecified sexually transmitted disease;;1
A65;Nonvenereal syphilis;;1
A66.0;Initial lesions of yaws;;1
A66.1;Multiple papillomata and wet crab yaws;;1
A66.2;Other early skin lesions of yaws;;1
A66.3;Hyperkeratosis of yaws;;1
A66.4;Gummata and ulcers of yaws;;1
A66.5;Gangosa;;1
A66.6;Bone and joint lesions of yaws;;1
A66.7;Other manifestations of yaws;;1
A66.8;Latent yaws;;1
A66.9;Yaws, unspecified;;1
A67.0;Primary lesions of pinta;;1
A67.1;Intermediate lesions of pinta;;1
A67.2;Late lesions of pinta;;1
A67.3;Mixed lesions of pinta;;1
A67.9;Pinta, unspecified;;1
A68.0;Louse-borne relapsing fever;;1
A68.1;Tick-borne relapsing fever;;1
A68.9;Relapsing fever, unspecified;;1
A69.0;Necrotizing ulcerative stomatitis;;1
A69.1;Other Vincent's infections;;1
A69.2;Lyme disease;;1
A69.8;Other specified spirochaetal infections;;1
A69.9;Spirochaetal infection, unspecified;;1
A70;Chlamydia psittaci infection;;1
A71.0;Initial stage of trachoma;;1
A71.1;Active stage of trachoma;;1
A71.9;Trachoma, unspecified;;1
A74.0;Chlamydial conjunctivitis (H13.1*);;1
A74.8;Other chlamydial diseases;;1
A74.9;Chlamydial infection, unspecified;;1
A75.0;Epidemic louse-borne typhus fever due to Rickettsia prowazekii;;1
A75.1;Recrudescent typhus [Brill's disease];;1
A75.2;Typhus fever due to Rickettsia typhi;;1
A75.3;Typhus fever due to Rickettsia tsutsugamushi;;1
A75.9;Typhus fever, unspecified;;1
A77.0;Spotted fever due to Rickettsia rickettsii;;1
A77.1;Spotted fever due to Rickettsia conorii;;1
A77.2;Spotted fever due to Rickettsia sibirica;;1
A77.3;Spotted fever due to Rickettsia australis;;1
A77.8;Other spotted fevers;;1
A77.9;Spotted fever, unspecified;;1
A78;Q fever;;1
A79.0;Trench fever;;1
A79.1;Rickettsialpox due to Rickettsia akari;;1
A79.8;Other specified rickettsioses;;1
A79.9;Rickettsiosis, unspecified;;1
A80.0;Acute paralytic poliomyelitis, vaccine-associated;;1
A80.1;Acute paralytic poliomyelitis, wild virus, imported;;1
A80.2;Acute paralytic poliomyelitis, wild virus, indigenous;;1
A80.3;Acute paralytic poliomyelitis, other and unspecified;;1
A80.4;Acute nonparalytic poliomyelitis;;1
A80.9;Acute poliomyelitis, unspecified;;1
A81.0;Creutzfeldt-Jakob disease;;1
A81.1;Subacute sclerosing panencephalitis;;1
A81.2;Progressive multifocal leukoencephalopathy;;1
A81.8;Other atypical virus infections of central nervous system;;1
A81.9;Atypical virus infection of central nervous system, unspecified;;1
A82.0;Sylvatic rabies;;1
A82.1;Urban rabies;;1
A82.9;Rabies, unspecified;;1
A83.0;Japanese encephalitis;;1
A83.1;Western equine encephalitis;;1
A83.2;Eastern equine encephalitis;;1
A83.3;St Louis encephalitis;;1
A83.4;Australian encephalitis;;1
A83.5;California encephalitis;;1
A83.6;Rocio virus disease;;1
A83.8;Other mosquito-borne viral encephalitis;;1
A83.9;Mosquito-borne viral encephalitis, unspecified;;1
A84.0;Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis];;1
A84.1;Central European tick-borne encephalitis;;1
A84.8;Other tick-borne viral encephalitis;;1
A84.9;Tick-borne viral encephalitis, unspecified;;1
A85.0;Enteroviral encephalitis (G05.1*);;1
A85.1;Adenoviral encephalitis (G05.1*);;1
A85.2;Arthropod-borne viral encephalitis, unspecified;;1
A85.8;Other specified viral encephalitis;;1
A86;Unspecified viral encephalitis;;1
A87.0;Enteroviral meningitis (G02.0*);;1
A87.1;Adenoviral meningitis (G02.0*);;1
A87.2;Lymphocytic choriomeningitis;;1
A87.8;Other viral meningitis;;1
A87.9;Viral meningitis, unspecified;;1
A88.0;Enteroviral exanthematous fever [Boston exanthem];;1
A88.1;Epidemic vertigo;;1
A88.8;Other specified viral infections of central nervous system;;1
A89;Unspecified viral infection of central nervous system;;1
A90;Dengue fever [classical dengue];;1
A91;Dengue haemorrhagic fever;;1
A92.0;Chikungunya virus disease;;1
A92.1;O'nyong-nyong fever;;1
A92.2;Venezuelan equine fever;;1
A92.3;West Nile virus infection;;1
A92.4;Rift Valley fever;;1
A92.8;Other specified mosquito-borne viral fevers;;1
A92.9;Mosquito-borne viral fever, unspecified;;1
A93.0;Oropouche virus disease;;1
A93.1;Sandfly fever;;1
A93.2;Colorado tick fever;;1
A93.8;Other specified arthropod-borne viral fevers;;1
A94;Unspecified arthropod-borne viral fever;;1
A95.0;Sylvatic yellow fever;;1
A95.1;Urban yellow fever;;1
A95.9;Yellow fever, unspecified;;1
A96.0;Junin haemorrhagic fever;;1
A96.1;Machupo haemorrhagic fever;;1
A96.2;Lassa fever;;1
A96.8;Other arenaviral haemorrhagic fevers;;1
A96.9;Arenaviral haemorrhagic fever, unspecified;;1
A98.0;Crimean-Congo haemorrhagic fever;;1
A98.1;Omsk haemorrhagic fever;;1
A98.2;Kyasanur Forest disease;;1
A98.3;Marburg virus disease;;1
A98.4;Ebola virus disease;;1
A98.5;Haemorrhagic fever with renal syndrome;;1
A98.8;Other specified viral haemorrhagic fevers;;1
A99;Unspecified viral haemorrhagic fever;;1
B00.0;Eczema herpeticum;;1
B00.1;Herpesviral vesicular dermatitis;;1
B00.2;Herpesviral gingivostomatitis and pharyngotonsillitis;;1
B00.3;Herpesviral meningitis (G02.0*);;1
B00.4;Herpesviral encephalitis (G05.1*);;1
B00.5;Herpesviral ocular disease;;1
B00.7;Disseminated herpesviral disease;;1
B00.8;Other forms of herpesviral infection;;1
B00.9;Herpesviral infection, unspecified;;1
B01.0;Varicella meningitis (G02.0*);;1
B01.1;Varicella encephalitis (G05.1*);;1
B01.2;Varicella pneumonia (J17.1*);;1
B01.8;Varicella with other complications;;1
B01.9;Varicella without complication;;1
B02.0;Zoster encephalitis (G05.1*);;1
B02.1;Zoster meningitis (G02.0*);;1
B02.2;Zoster with other nervous system involvement;;1
B02.3;Zoster ocular disease;;1
B02.7;Disseminated zoster;;1
B02.8;Zoster with other complications;;1
B02.9;Zoster without complication;;1
B03;Smallpox;;1
B04;Monkeypox;;1
B05.0;Measles complicated by encephalitis (G05.1*);;1
B05.1;Measles complicated by meningitis (G02.0*);;1
B05.2;Measles complicated by pneumonia (J17.1*);;1
B05.3;Measles complicated by otitis media (H67.1*);;1
B05.4;Measles with intestinal complications;;1
B05.8;Measles with other complications;;1
B05.9;Measles without complication;;1
B06.0;Rubella with neurological complications;;1
B06.8;Rubella with other complications;;1
B06.9;Rubella without complication;;1
B07;Viral warts;;1
B08.0;Other orthopoxvirus infections;;1
B08.1;Molluscum contagiosum;;1
B08.2;Exanthema subitum [sixth disease];;1
B08.3;Erythema infectiosum [fifth disease];;1
B08.4;Enteroviral vesicular stomatitis with exanthem;;1
B08.5;Enteroviral vesicular pharyngitis;;1
B08.8;Other specified viral infections characterized by skin and mucous membrane lesions;;1
B09;Unspecified viral infection characterized by skin and mucous membrane lesions;;1
B15.0;Hepatitis A with hepatic coma;;1
B15.9;Hepatitis A without hepatic coma;;1
B16.0;Acute hepatitis B with delta-agent (coinfection) with hepatic coma;;1
B16.1;Acute hepatitis B with delta-agent (coinfection) without hepatic coma;;1
B16.2;Acute hepatitis B without delta-agent with hepatic coma;;1
B16.9;Acute hepatitis B without delta-agent and without hepatic coma;;1
B17.0;Acute delta-(super)infection of hepatitis B carrier;;1
B17.1;Acute hepatitis C;;1
B17.2;Acute hepatitis E;;1
B17.8;Other specified acute viral hepatitis;;1
B17.9;Acute viral hepatitis, unspecified;;1
B18.0;Chronic viral hepatitis B with delta-agent;;1
B18.1;Chronic viral hepatitis B without delta-agent;;1
B18.2;Chronic viral hepatitis C;;1
B18.8;Other chronic viral hepatitis;;1
B18.9;Chronic viral hepatitis, unspecified;;1
B19.0;Unspecified viral hepatitis with hepatic coma;;1
B19.9;Unspecified viral hepatitis without hepatic coma;;1
B20.0;HIV disease resulting in mycobacterial infection;;1
B20.1;HIV disease resulting in other bacterial infections;;1
B20.2;HIV disease resulting in cytomegaloviral disease;;1
B20.3;HIV disease resulting in other viral infections;;1
B20.4;HIV disease resulting in candidiasis;;1
B20.5;HIV disease resulting in other mycoses;;1
B20.6;HIV disease resulting in Pneumocystis jirovecii pneumonia;;1
B20.7;HIV disease resulting in multiple infections;;1
B20.8;HIV disease resulting in other infectious and parasitic diseases;;1
B20.9;HIV disease resulting in unspecified infectious or parasitic disease;;1
B21.0;HIV disease resulting in Kaposi's sarcoma;;1
B21.1;HIV disease resulting in Burkitt lymphoma;;1
B21.2;HIV disease resulting in other types of non-Hodgkin lymphoma;;1
B21.3;HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue;;1
B21.7;HIV disease resulting in multiple malignant neoplasms;;1
B21.8;HIV disease resulting in other malignant neoplasms;;1
B21.9;HIV disease resulting in unspecified malignant neoplasm;;1
B22.0;HIV disease resulting in encephalopathy;;1
B22.1;HIV disease resulting in lymphoid interstitial pneumonitis;;1
B22.2;HIV disease resulting in wasting syndrome;;1
B22.7;HIV disease resulting in multiple diseases classified elsewhere;;1
B23.0;Acute HIV infection syndrome;;1
B23.1;HIV disease resulting in (persistent) generalized lymphadenopathy;;1
B23.2;HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified;;1
B23.8;HIV disease resulting in other specified conditions;;1
B24;Unspecified human immunodeficiency virus [HIV] disease;;1
B25.0;Cytomegaloviral pneumonitis (J17.1*);;1
B25.1;Cytomegaloviral hepatitis (K77.0*);;1
B25.2;Cytomegaloviral pancreatitis (K87.1*);;1
B25.8;Other cytomegaloviral diseases;;1
B25.9;Cytomegaloviral disease, unspecified;;1
B26.0;Mumps orchitis (N51.1*);;1
B26.1;Mumps meningitis (G02.0*);;1
B26.2;Mumps encephalitis (G05.1*);;1
B26.3;Mumps pancreatitis (K87.1*);;1
B26.8;Mumps with other complications;;1
B26.9;Mumps without complication;;1
B27.0;Gammaherpesviral mononucleosis;;1
B27.1;Cytomegaloviral mononucleosis;;1
B27.8;Other infectious mononucleosis;;1
B27.9;Infectious mononucleosis, unspecified;;1
B30.0;Keratoconjunctivitis due to adenovirus (H19.2*);;1
B30.1;Conjunctivitis due to adenovirus (H13.1*);;1
B30.2;Viral pharyngoconjunctivitis;;1
B30.3;Acute epidemic haemorrhagic conjunctivitis (enteroviral) (H13.1*);;1
B30.8;Other viral conjunctivitis (H13.1*);;1
B30.9;Viral conjunctivitis, unspecified;;1
B33.0;Epidemic myalgia;;1
B33.1;Ross River disease;;1
B33.2;Viral carditis;;1
B33.3;Retrovirus infections, not elsewhere classified;;1
B33.4;Hantavirus (cardio)-pulmonary syndrome [ HPS ] [ HCPS ] (J17.1*);;1
B33.8;Other specified viral diseases;;1
B34.0;Adenovirus infection, unspecified site;;1
B34.1;Enterovirus infection, unspecified site;;1
B34.2;Coronavirus infection, unspecified site;;1
B34.3;Parvovirus infection, unspecified site;;1
B34.4;Papovavirus infection, unspecified site;;1
B34.8;Other viral infections of unspecified site;;1
B34.9;Viral infection, unspecified;;1
B35.0;Tinea barbae and tinea capitis;;1
B35.1;Tinea unguium;;1
B35.2;Tinea manuum;;1
B35.3;Tinea pedis;;1
B35.4;Tinea corporis;;1
B35.5;Tinea imbricata;;1
B35.6;Tinea cruris;;1
B35.8;Other dermatophytoses;;1
B35.9;Dermatophytosis, unspecified;;1
B36.0;Pityriasis versicolor;;1
B36.1;Tinea nigra;;1
B36.2;White piedra;;1
B36.3;Black piedra;;1
B36.8;Other specified superficial mycoses;;1
B36.9;Superficial mycosis, unspecified;;1
B37.0;Candidal stomatitis;;1
B37.1;Pulmonary candidiasis;;1
B37.2;Candidiasis of skin and nail;;1
B37.3;Candidiasis of vulva and vagina (N77.1*);;1
B37.4;Candidiasis of other urogenital sites;;1
B37.5;Candidal meningitis (G02.1*);;1
B37.6;Candidal endocarditis (I39.8*);;1
B37.7;Candidal sepsis;;1
B37.8;Candidiasis of other sites;;1
B37.9;Candidiasis, unspecified;;1
B38.0;Acute pulmonary coccidioidomycosis;;1
B38.1;Chronic pulmonary coccidioidomycosis;;1
B38.2;Pulmonary coccidioidomycosis, unspecified;;1
B38.3;Cutaneous coccidioidomycosis;;1
B38.4;Coccidioidomycosis meningitis (G02.1*);;1
B38.7;Disseminated coccidioidomycosis;;1
B38.8;Other forms of coccidioidomycosis;;1
B38.9;Coccidioidomycosis, unspecified;;1
B39.0;Acute pulmonary histoplasmosis capsulati;;1
B39.1;Chronic pulmonary histoplasmosis capsulati;;1
B39.2;Pulmonary histoplasmosis capsulati, unspecified;;1
B39.3;Disseminated histoplasmosis capsulati;;1
B39.4;Histoplasmosis capsulati, unspecified;;1
B39.5;Histoplasmosis duboisii;;1
B39.9;Histoplasmosis, unspecified;;1
B40.0;Acute pulmonary blastomycosis;;1
B40.1;Chronic pulmonary blastomycosis;;1
B40.2;Pulmonary blastomycosis, unspecified;;1
B40.3;Cutaneous blastomycosis;;1
B40.7;Disseminated blastomycosis;;1
B40.8;Other forms of blastomycosis;;1
B40.9;Blastomycosis, unspecified;;1
B41.0;Pulmonary paracoccidioidomycosis;;1
B41.7;Disseminated paracoccidioidomycosis;;1
B41.8;Other forms of paracoccidioidomycosis;;1
B41.9;Paracoccidioidomycosis, unspecified;;1
B42.0;Pulmonary sporotrichosis (J99.8*);;1
B42.1;Lymphocutaneous sporotrichosis;;1
B42.7;Disseminated sporotrichosis;;1
B42.8;Other forms of sporotrichosis;;1
B42.9;Sporotrichosis, unspecified;;1
B43.0;Cutaneous chromomycosis;;1
B43.1;Phaeomycotic brain abscess;;1
B43.2;Subcutaneous phaeomycotic abscess and cyst;;1
B43.8;Other forms of chromomycosis;;1
B43.9;Chromomycosis, unspecified;;1
B44.0;Invasive pulmonary aspergillosis;;1
B44.1;Other pulmonary aspergillosis;;1
B44.2;Tonsillar aspergillosis;;1
B44.7;Disseminated aspergillosis;;1
B44.8;Other forms of aspergillosis;;1
B44.9;Aspergillosis, unspecified;;1
B45.0;Pulmonary cryptococcosis;;1
B45.1;Cerebral cryptococcosis;;1
B45.2;Cutaneous cryptococcosis;;1
B45.3;Osseous cryptococcosis;;1
B45.7;Disseminated cryptococcosis;;1
B45.8;Other forms of cryptococcosis;;1
B45.9;Cryptococcosis, unspecified;;1
B46.0;Pulmonary mucormycosis;;1
B46.1;Rhinocerebral mucormycosis;;1
B46.2;Gastrointestinal mucormycosis;;1
B46.3;Cutaneous mucormycosis;;1
B46.4;Disseminated mucormycosis;;1
B46.5;Mucormycosis, unspecified;;1
B46.8;Other zygomycoses;;1
B46.9;Zygomycosis, unspecified;;1
B47.0;Eumycetoma;;1
B47.1;Actinomycetoma;;1
B47.9;Mycetoma, unspecified;;1
B48.0;Lobomycosis;;1
B48.1;Rhinosporidiosis;;1
B48.2;Allescheriasis;;1
B48.3;Geotrichosis;;1
B48.4;Penicillosis;;1
B48.7;Opportunistic mycoses;;1
B48.8;Other specified mycoses;;1
B49;Unspecified mycosis;;1
